"dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dcdatecreated","dcdateissued","dcdescription","dcdescriptionabstract","dcdescriptionsponsorship","dcformat","dcformatextent","dcformatmedium","dcformatmimetype","dcidentifierBG","dcidentifierentitat","dcidentifieruri","dcidentifiervideo","dclanguage","dcpublisher","dcrelation","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreferencedby","dcrights","dcrightsaccessrights","dcrightsnotes","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 36"
"Esplugas, Antoni | Roura Parella, Joan","","Barcelona. District 1. Ciutat Vella | Barcelona. Distrito 1. Ciutat Vella | Barcelona. Districte 1. Ciutat Vella | Portal de la Pau, Plaça (Barcelona) | Portal de la Pau, Plaza (Barcelona) | Portal de la Pau, Square (Barcelona)","1887","1887",1887,"Original file at: Arxiu Fotogràfic de la Ciutat de Barcelona (reference: bcn000138) | Issued date based on created date | Archivo dipositario del documento original: Arxiu Fotogràfic de la Ciutat de Barcelona (registro original: bcn000138) | Fecha de publicación basada en la fecha de creación | Arxiu dipositari del document original: Arxiu Fotogràfic de la Ciutat de Barcelona (registre original: bcn000138) | Data de publicació basada en la data de creació","Construction of the Monument to Christopher Columbus: metal scaffolding. At the bottom of the Royal Drassanes | Construcció del Monument a Cristòfor Colom : bastida metàl.lica. Al fons les Reials Drassanes | Construcción del Monumento a Cristóbal Colón: andamio metálica. Al fondo las Reales Atarazanas","","image/jpeg","1 fotografia","","image/jpeg","","","http://hdl.handle.net/11703/110389","","zxx","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona | Arxiu Fotogràfic de la Ciutat de Barcelona","http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.en | http://creativecommons.org/publicdomain/mark/1.0/deed.es","Escultures i monuments | Colom, Cristòfor | Sculptures and monuments | Columbus, Christopher | Esculturas y monumentos | Colón, Cristóbal","","fotografies | documents digitalitzats","Monument a Cristòfor Colom","","image","info:eu-repo/semantics/other",""
"Autor desconegut","Oficina del Historiador de la Ciudad de La Habana","Havana (Cuba) | La Habana (Cuba) | L'Havana (Cuba)","1899 | 1900 | 1901 | 1902","1899",1899,"Original file at: Fototeca de la Oficina del Historiador de la Ciudad de La Habana (reference:2-4537) | Unknow author | Approximate creation and publication dates | Archivo depositario del documento  original: Fototeca Histórica Oficina del Historiador del La Habana(registro original:2-4537) | Autor desconocido | En la fecha de creación y de publicación se ha hecho constar la fecha inicial. Son fechas aproximadas, que van de 1899 a 1902. | Arxiu dipositari del document original: Fototeca Histórica Oficina del Historiador del La Habana(registre original:2-4537) | Autor desconegut | A la data de creació i de publicació s'ha fet constar la data inicial. Són dates aproximades, que van de 1899 a 1902.","Motius al·legòrics col·locats a l'Havana amb motiu de l'inici de la intervenció militar dels Estats Units, que marca el final de la dominació espanyola a l'illa. | Allegorical motifs placed in Havana on the occasion of the beginning of the military intervention of the United States, which marks the end of Spanish rule on the island. | Motivos alegóricos colocados en La Habana con motivo del inicio de la intervención militar de los Estados Unidos, que marca el final de la dominación española en la isla.","Digitalitzat per la Oficina del Historiador de la Ciudad de La Habana","image/jpeg","1 fotografia","","image/jpeg","","","http://hdl.handle.net/11703/114448","","zxx","","","","","Reproducció digital del document en suport original","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.en | http://creativecommons.org/publicdomain/mark/1.0/deed.es","Places | Patrimoni cultural | Monuments | Banderes | Plazas | Cultural heritage | Monuments | Flags | Plazas | Patrimonio cultural | Monumentos | Banderas","","fotografies | documents digitalitzats","Gobierno Interventor. Bandera Cubana","","image","info:eu-repo/semantics/other",""
"Autor desconegut","Oficina del Historiador de la Ciudad de La Habana","Havana (Cuba) | La Habana (Cuba) | L'Havana (Cuba)","1890 | 1891 | 1892 | 1893 | 1894 | 1895 | 1896 | 1897 | 1898 | 1899 | 1900 | 1901 | 1902 | 1903 | 1904 | 1905 | 1906 | 1907 | 1908 | 1909 | 1910","1890",1890,"Original file at: Fototeca de la Oficina del Historiador de la Ciudad de La Habana (reference:02062-1) | Unknow author | Approximate creation and publication dates | Archivo depositario del documento  original: Fototeca Histórica Oficina del Historiador del La Habana(registro original:02062-1) | Autor desconocido | En la fecha de creación y de publicación se ha hecho constar la fecha inicial. Son fechas aproximadas, que van de 1890 a 1910. | Arxiu dipositari del document original: Fototeca Histórica Oficina del Historiador del La Habana(registre original:02062-1) | Autor desconegut | A la data de creació i de publicació s'ha fet constar la data inicial. Són dates aproximades, que van de 1890 a 1910.","Pertany al Àlbum A48 ""Vistas Históricas Cubanas"" pertanyent a la Fototeca Històrica. L'estàtua de Ferran VII va ser col·locada en 1834 a la Plaça d'Armes | Belongs to Album A48 ""Vistas Históricas Cubanas"" belonging to the Historical Photo Library. The statue of Fernando VII was placed in 1834 in the Plaza de Armas | Pertenece al Album A48 ""Vistas Históricas Cubanas"" perteneciente a la Fototeca Histórica. La estatua de Fernando VII fue colocada en 1834 en la Plaza de Armas","Digitalitzat per la Oficina del Historiador de la Ciudad de La Habana","image/jpeg","1 fotografia","","image/jpeg","","","http://hdl.handle.net/11703/114413","","zxx","","","","","Reproducció digital del document en suport original","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.en | http://creativecommons.org/publicdomain/mark/1.0/deed.es","Homes | Treball | Entorn de treball | Men | Labor | Work environment | Flags | Hombres | Trabajo | Condiciones de trabajo","","fotografies | documents digitalitzats","Hombres descansando","","image","info:eu-repo/semantics/other",""
"Bourgeois, Constant","","Barcelona. District 3. Sants-Montjuïc | Barcelona. Distrito 3. Sants-Montjuïc | Barcelona. Districte 3. Sants-Montjuïc","1803","1803",1803,"Original file at: Arxiu Històric de la Ciutat de Barcelona (reference: AHCB 09681). | Issued date based on created date | Archivo dipositario del documento original: Arxiu Històric de la Ciutat de Barcelona (registro original: AHCB 09681). | Fecha de publicación basada en la fecha de creación | Arxiu dipositari del document original: Arxiu Històric de la Ciutat de Barcelona (registre original: AHCB 09681). | Data de publicació basada en la data de creació.","Vista de Barcelona tomada desde el camino de Montjuïc; a sus pies, las huertas y la ciudad amurallada. Línea de montañas al fondo y barcos en el puerto. | Vista de Barcelona presa des del camí de Montjuïc; als seus peus, les hortes i la ciutat murallada. Línia de muntanyes al fons i vaixells al port. | View of Barcelona taken from the Montjuïc road; at your feet, the orchards and the walled city. Line of mountains in the background and boats in the harbor.","Digitalitzat per l'Arxiu Històric de la Ciutat de Barcelona","image/jpeg","1 fotografia","","image/jpeg","","","http://hdl.handle.net/11703/111874","","zxx","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona | Arxiu Històric de la Ciutat de Barcelona","http://creativecommons.org/publicdomain/mark/1.0/deed.es | http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.en","Horts | Platges | Muralles | Vegetable gardening | Beaches | City walls | Huertos | Playas | Murallas","","fotografies | documents digitalitzats","Vista de Barcelona Des de Montjuïc","","image","info:eu-repo/semantics/other",""
"Autor desconegut","Oficina del Historiador de la Ciudad de La Habana","Havana (Cuba) | La Habana (Cuba) | L'Havana (Cuba)","1899","1899",1899,"Original file at: Fototeca de la Oficina del Historiador de la Ciudad de La Habana (reference:13-1967-1) | Unknow author | Approximate creation and publication dates | Archivo depositario del documento  original: Fototeca Histórica Oficina del Historiador del La Habana(registro original:13-1967-1) | Autor desconocido | En la fecha de creación y de publicación se ha hecho constar la fecha inicial. Son fechas aproximadas, que van de 1899 a 1902. | Arxiu dipositari del document original: Fototeca Histórica Oficina del Historiador del La Habana(registre original:13-1967-1) | Autor desconegut | A la data de creació i de publicació s'ha fet constar la data inicial. Són dates aproximades, que van de 1899 a 1902.","El Castillo de los Tres Reyes del Morro, va ser construït a partir de 1585, com a part del sistema de fortificacions defensives de la badia de l'Havana, contra atacs de corsaris i pirates. El 1982, va ser declarat Patrimoni de la Humanitat, com una de for | The Castle of the Tres Reyes del Morro, was constructed as of 1585, like part of the system of defensive fortifications of the bay of Havana, against attacks of corsairs and pirates. In 1982, it was declared a World Heritage Site, as one of fortifications | El Castillo de los Tres Reyes del Morro, fue construido a partir de 1585, como parte del sistema de fortificaciones defensivas de la bahía de La Habana, contra ataques de corsarios y piratas. En 1982, fue declarado Patrimonio de la Humanidad, como una de","Digitalitzat per la Oficina del Historiador de la Ciudad de La Habana","image/jpeg","1 fotografia","","image/jpeg","","","http://hdl.handle.net/11703/114439","","zxx","","","","","Reproducció digital del document en suport original","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.en | http://creativecommons.org/publicdomain/mark/1.0/deed.es","Molls | Edificis militars | Ensorrament | Wharves | Military buildings | Structural failures | Muelles | Edificio militar | Derrumbamiento","","fotografies | documents digitalitzats","Castillo de los Tres Reyes del Morro.Vista sujeto. Muro.","","image","info:eu-repo/semantics/other",""
"Sagarra Plana, Josep Maria","","Barcelona | Barcelona | Barcelona","1919","1919",1919,"Arxiu dipositari del document original: Arxiu Nacional de Catalunya (registre original: ANC-1-585-N-46) | Data de publicació basada en la data de creació | Original file at: Arxiu Nacional de Catalunya (reference: ANC-1-585-N-46) | Issued date based on created date | Archivo dipositario del documento original:Arxiu Nacional de Catalunya (registro original:ANC-1-585-N-46) | Fecha de publicación basada en la fecha de creación","Tropas en la calle durante la huelga de La Canadiense | Tropes al carrer durant la vaga de La Canadenca | Troops on the street during the La Canadiense strike","Digitalitzat per l'Arxiu Nacional de Catalunya","image/jpeg","1 fotografia","","image/jpeg","","","http://hdl.handle.net/11703/114466","","zxx","","","","","","https://www.europeana.eu/portal/es/record/2024907/photography_ProvidedCHO_Generalitat_de_Catalunya__Arxiu_Nacional_de_Catalunya_ANC_1_585_N_46.html?q=vaga+de+La+Canadenca+#dcId=1550052369441&p=1","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","","Arxiu Nacional de Catalunya","https://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca | https://creativecommons.org/licenses/by-nc-nd/4.0/deed.en | https://creativecommons.org/licenses/by-nc-nd/4.0/deed.es","Militars | Canadenca, Vaga de la | Soldiers | La Canadiense strike | Militares | Huelga de La Canadiense","","fotografies | documents digitalitzats","Tropes al carrer durant la vaga de La Canadenca","","image","info:eu-repo/semantics/other",""
"Secretaría de Obras Públicas","Oficina del Historiador de la Ciudad de La Habana","Havana (Cuba) | La Habana (Cuba) | L'Havana (Cuba)","1930","1930",1930,"Original file at: Fototeca de la Oficina del Historiador de la Ciudad de La Habana (reference:1016 IMC 1930 ) | Archivo depositario del documento  original: Oficina del Historiador de la Ciudad de La Habana(registro original:1016 IMC 1930) | Esta imagen forma parte del Fondo Del Ministerio de la Construcción , que se encuentra en la Fototeca Histórica desde el año 2014. | Arxiu dipositari del document original: Oficina del Historiador de la Ciudad de La Habana(registre original:1016 IMC 1930)","Treballadors de les pedreres, entre els quals s'observa un nen, en un segon pla una locomotora petita. | Workers of the quarries, among which a child is observed, in a second plane a small locomotive. | Trabajadores de las canteras, entre los que se observa un niño, en un segundo plano una locomotora pequeña.","Digitalitzat per la Oficina del Historiador de la Ciudad de La Habana","image/jpeg","1 fotografia","","image/jpeg","","","http://hdl.handle.net/11703/114358","","zxx","","","","","Reproducció digital del document en suport original","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.en | http://creativecommons.org/publicdomain/mark/1.0/deed.es","Construcció | Indústria de la construcció | Oficis de la construcció | Building | Construction industry | Building trades | Construcción | Industria de la construcción | Oficios de la construcción","","fotografies | documents digitalitzats","Cantera San José de Capellanía","","image","info:eu-repo/semantics/other",""
"Jaussely, Léon","","Barcelona | Barcelona | Barcelona","1903","1903",1903,"Original file at: Arxiu Històric de la Ciutat de Barcelona (reference: AHCB 17653). | Issued date based on created date | Archivo dipositario del documento original: Arxiu Històric de la Ciutat de Barcelona (registro original: AHCB 17653). | Fecha de publicación basada en la fecha de creación | Arxiu dipositari del document original: Arxiu Històric de la Ciutat de Barcelona (registre original: AHCB 17653). | Data de publicació basada en la data de creació.","Plano de la red de transportes. Marca dos niveles de vialidad. Las vías de interés general y las vinculadas a la edificación. Dibuja las vías proyectadas destacando un sistema de comunicaciones generales. Jaussely ideó un ferrocarril subterráneo, las estaciones del que aparecen en plànol·línies de ferrocarril formando un anillo. | Plànol de la xarxa de transports. Marca dos nivells de vialitat. Les vies d'interés general i les vinculades a l'edificació. Dibuixa les vies projectades destacant un sistema de comunicacions generals. Jaussely va idear un ferrocarril subterrani, les estacions del qual apareixen al plànol·línies de ferrocarril formant un anell. | Map of the transport network. Mark two levels of roads. The routes of general interest and those linked to the building. Draw the projected routes highlighting a general communications system. Jaussely devised an underground railway, the stations of which appear in railroad plots forming a ring.","Digitalitzat per l'Arxiu Històric de la Ciutat de Barcelona","image/jpeg","1 fotografia","","image/jpeg","","","http://hdl.handle.net/11703/111909","","zxx","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona | Arxiu Històric de la Ciutat de Barcelona","https://creativecommons.org/licenses/by-nc-nd/4.0/deed.es | https://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca | https://creativecommons.org/licenses/by-nc-nd/4.0/deed.en","Plànols | Transport urbà | Ferrocarrils | Tramvies | Plans | Urban transportation | Railroads | Street-railroads | Planos | Transporte urbano | Ferrocarriles | Tranvías","","fotografies | plànols | documents digitalitzats","Avantprojecte d'Enllaços de la Ciutat de Barcelona. Nº 9. Plano de los Tranvias Y Ferrocarriles","","image","info:eu-repo/semantics/other",""
"Martí Centellas, Joan","","Barcelona. Districte 2. Eixample | Gràcia, Passeig (Barcelona) | Barcelona. Distrito 2. Eixample | Gràcia, Paseo (Barcelona) | Barcelona. District 2. Eixample | Gràcia, Boulevard (Barcelona)","1874","1874",1874,"Arxiu dipositari del document original: Arxiu Fotogràfic de la Ciutat de Barcelona (registre original: bcn000160) | Data de publicació basada en la data de creació | Original file at: Arxiu Fotogràfic de la Ciutat de Barcelona (reference: bcn000160 ) | Issued date based on created date | Archivo depositario del documento original: Arxiu Fotogràfic de la Ciutat de Barcelona (registro original: bcn000160) | Fecha de publicación basada en la fecha de creación","Passeig de Gràcia vist des del Portal de l'Àngel. Fotografia de l'àlbum ""Bellezas de Barcelona"" | Paseo de Gracia visto desde el Portal del Ángel. Fotografía del álbum ""Bellezas de Barcelona"" | Passeig de Gràcia seen from the Portal de l'Àngel. Picture of the album ""Bellezas de Barcelona""","Digitalitzat per l'Arxiu Fotogràfic de la Ciutat de Barcelona","image/jpeg","1 fotografia","Paper positivat, blanc i negre, 16 x 22,5 cm, albúmina","image/jpeg","","","http://hdl.handle.net/11703/110287","","zxx","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona | Arxiu Fotogràfic de la Ciutat de Barcelona","http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.en | http://creativecommons.org/publicdomain/mark/1.0/deed.es","Carrers | Streets | Calles","","fotografies | documents digitalitzats","Passeig de Gràcia","","image","info:eu-repo/semantics/other",""
"Pellicer, Josep Lluís | Rico Ortega, Bernardo","","Barcelona. District 1. Ciutat Vella | Sant Jaume, Square (Barcelona) | Barcelona. Distrito 1. Ciutat Vella | Sant Jaume, Plaza (Barcelona) | Barcelona. Districte 1. Ciutat Vella | Sant Jaume, Plaça (Barcelona)","1873","1873",1873,"Original file at: Arxiu Històric de la Ciutat de Barcelona (reference: AHCB 04672). | Issued date based on created date | Archivo dipositario del documento original: Arxiu Històric de la Ciutat de Barcelona (registro original: AHCB 04672). | Fecha de publicación basada en la fecha de creación | Arxiu dipositari del document original: Arxiu Històric de la Ciutat de Barcelona (registre original: AHCB 04672). | Data de publicació basada en la data de creació.","Aspecto de la Plaza Sant Jaume en proclamarse la Primera República Española en febrero de 1873 | Aspecte de la Plaça Sant Jaume en proclamar-se la Primera República Espanyola el febrer de 1873 | Appearance of the Plaza Sant Jaume in proclaiming the First Spanish Republic in February 1873","Digitalitzat per l'Arxiu Històric de la Ciutat de Barcelona","image/jpeg","1 fotografia","","image/jpeg","","","http://hdl.handle.net/11703/111904","","zxx","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona | Arxiu Històric de la Ciutat de Barcelona","http://creativecommons.org/publicdomain/mark/1.0/deed.es | http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.en","Esdeveniments especials | República Catalana, 1931 | Special events | Catalan Republic, 1931 | Eventos especiales | República Catalana, 1931","","fotografies | documents digitalitzats","Barcelona. Proclamación de la República: Aspecto de la Plaza de San Jaime en la Mañana de 21 de Febrero [De 1873]","","image","info:eu-repo/semantics/other",""
"Autor desconegut","Oficina del Historiador de la Ciudad de La Habana","Havana (Cuba) | La Habana (Cuba) | L'Havana (Cuba)","1927","1927",1927,"Original file at: Fototeca de la Oficina del Historiador de la Ciudad de La Habana (reference:1-1-2164) | Unknow author | Archivo depositario del documento  original: Fototeca Histórica Oficina del Historiador del la ciudad de La Habana(registro original:1-1-2164) | Autor desconocido | Arxiu dipositari del document original: Fototeca Histórica Oficina del Historiador del la ciudad de La Habana(registre original:1-1-2164) | Autor desconegut","","Digitalitzat per la Oficina del Historiador de la Ciudad de La Habana","image/jpeg","1 fotografia","","image/jpeg","","","http://hdl.handle.net/11703/114408","","zxx","","","","","Reproducció digital del document en suport original","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.en | http://creativecommons.org/publicdomain/mark/1.0/deed.es","Molls | Edificis militars | Wharves | Military buildings | Muelles | Edificio militar","","fotografies | documents digitalitzats","Castillo San Salvador de la Punta. Sillas montadas acto. Vista del Castillo de los Tres Reyes del Morro.","","image","info:eu-repo/semantics/other",""
"Mihale, Federico","Oficina del Historiador de la Ciudad de La Habana","Havana (Cuba) | La Habana (Cuba) | L'Havana (Cuba)","1848","1848",1848,"Original file at: Archivo Histórico Oficina del Historiador de la Ciudad de La Habana(reference:I-23_004) | Archivo depositario del documento  original: Archivo Histórico Oficina del Historiador de la Ciudad de La Habana(registro original:I-23_004) | Se incluye en :Viaje Pintoresco alrededor de la Isla de Cuba, Segundo Albúm, s.XIX. La Empresa Litográfica es  L.Marquier C. de Lamparilla N.96. | Arxiu dipositari del document original: Archivo Histórico Oficina del Historiador de la Ciudad de La Habana(registre original:I-23_004)","","Digitalitzat per la Oficina del Historiador de la Ciudad de La Habana","image/jpeg","1 fotografia","","image/jpeg","","","http://hdl.handle.net/11703/114354","","zxx","","","","","Reproducció digital del document en suport original","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.en | http://creativecommons.org/publicdomain/mark/1.0/deed.es","Arquitectura | Ports | Architecture | Harbors | Arquitectura | Puertos","","fotografies | documents digitalitzats","Habana 2da Vista Tomada desde Casa Blanca","","image","info:eu-repo/semantics/other",""
"Couché, François-Louis | Moulinier, Jacques | Réville, Jean","","Barcelona. District 1. Ciutat Vella | Nova, Square (Barcelona) | Barcelona. Distrito 1. Ciutat Vella | Nova, Plaza (Barcelona) | Barcelona. Districte 1. Ciutat Vella | Nova, Plaça (Barcelona)","1806","1806",1806,"Original file at: Arxiu Històric de la Ciutat de Barcelona (reference: AHCB 18498). | Issued date based on created date | Archivo dipositario del documento original: Arxiu Històric de la Ciutat de Barcelona (registro original: AHCB 18498). | Fecha de publicación basada en la fecha de creación | Arxiu dipositari del document original: Arxiu Històric de la Ciutat de Barcelona (registre original: AHCB 18498). | Data de publicació basada en la data de creació.","Vista de la Plaza Nueva con una de las antiguas puertas de la ciudad. En el centro, paradas de un mercado ambulante y gente hablando. | Vista de la Plaça Nova amb una de les antigues portes de la ciutat. Al centre, parades d'un mercat ambulant i gent parlant. | View of the Plaza Nueva with one of the old city gates. In the center, stops of a street market and people talking.","Digitalitzat per l'Arxiu Històric de la Ciutat de Barcelona","image/jpeg","1 fotografia","","image/jpeg","","","http://hdl.handle.net/11703/111892","","zxx","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona | Arxiu Històric de la Ciutat de Barcelona","http://creativecommons.org/publicdomain/mark/1.0/deed.es | http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.en","Carrers | Mercats | Venda ambulant | Streets | Markets | Peddling | Calles | Mercados | Comercio ambulante","","fotografies | documents digitalitzats","Vista de la Plaza Nueva y de una de las Puertas Antiguas de Barcelona","","image","info:eu-repo/semantics/other",""
