"dcAccrualPeriodicity","dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdescription","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifierisbn","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhasformat","dcrelationhaspart","dcrelationhasversion","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreferencedby","dcrelationisrequiredby","dcrelationisversionof","dcrelationreferences","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightslicense","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","Unnamed: 46"
"","Àrea d'Hàbitat Urbà","","Barcelona","","","2011-11-30","2011","Presentada al Plenari del Consell Municipal de 30-11-2011. Citada a la Gaseta Municipal núm. 1 (10-01-2012)","","","application/pdf","7 p.","13428","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/84717","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Carrers. Gestió ambiental","Medi ambient","mesures de govern","","Mesura de govern per una Barcelona més neta","","text",""
"","Àrea de Presidència, Règim Interior, Seguretat i Mobilitat","","Barcelona","2013. 2014. 2015. 2016","","2012-05-16","2012","Presentada a la Comissió de Presidència i Règim Interior de 16-05-2012. Citada a la Gaseta Municipal núm. 19 (30-06-2012)","Digitalitzada pel SEDAC","","application/pdf","5 p.","11226","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/86218","cat","Ajuntament de Barcelona","","","","","","","Reproducció digital del document en suport original","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Cooperació internacional. Relacions internacionals","Sector públic","mesures de govern. documents digitalitzats","Pla Director de Cooperació Internacional i Solidaritat 2013-2016 (Barcelona)","Mesura de govern per a l'impuls del Pla Director de Cooperació Internacional i Solidaritat 2013-2016","","text",""
"","Comissió d'Ecologia, Urbanisme i Mobilitat (Consell Municipal de Barcelona). Àrea d'Ecologia, Urbanisme i Mobilitat","","Barcelona","2016. 2017. 2018. 2019","","2016-05-18","2016-05-18","Presentada a la Comissió d'Ecologia, Urbanisme i Mobilitat del 18-05-2016","","","application/pdf","41 p.","","","","","","Mandat 2015-","http://hdl.handle.net/11703/97356","cat","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Zones de vianants","Sector públic. Medi ambient","mesures de govern. plans estratègics","Omplim de Vida el Carrer, la Implantació de les Superilles a Barcelona 2016-2019. Pla de Mobilitat Urbana de Barcelona 2013-2018. Pla del Verd i la Biodiversitat de Barcelona 2012-2020. Programa Superilles 2012-2015 (Barcelona). Compromís de Barcelona pel Clima 2015-2017","Omplim de vida els carrers, la implantació de les superilles a Barcelona: mesura de govern","","text",""
"","Àrea d'Economia, Empresa i Ocupació. Districte 6. Gràcia","","Gràcia (Barcelona : Barri). Barcelona. Barcelona. Districte 6. Gràcia","2012. 2013","","2012-02-29","2012","Presentada al Consell Plenari del Districte de Gràcia de 29-02-2012","","","application/pdf","13 p.","18193","","","districtes","","Mandat 2011-2015","http://hdl.handle.net/11703/84809","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Consum (Economia)","Economia","mesures de govern","","Mesura de govern d'impuls al comerç de proximitat a Gràcia amb motiu de la Campanya de Nadal 2012","","text",""
"","Àrea d'Hàbitat Urbà","","Barcelona","","","2014-05-09","2014","Presentada al Plenari del Consell Municipal de 09-05-2014","","","application/pdf","30 p.","13690","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/84719","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Ciutats digitals (Xarxes d'ordinadors). Telecomunicació. Innovacions tecnològiques","Ciència i tecnologia","mesures de govern","","Pla Director de les TIC : Desplegament d'Infraestructures ""Smart"" a l'Espai Públic (PDTIC) : mesura de govern","","text",""
"","Sector de Manteniment i Serveis","","Barcelona","","","1996-07-12","1996","Presentada al Plenari del Consell Municipal de 12-07-1996","","","application/pdf","24 p.","11277","","","","","Mandat 1995-1999","http://hdl.handle.net/11703/84432","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Control de qualitat. Platges","Energia","mesures de govern. cartes de serveis","","Cartes de serveis a les platges de Barcelona durant la temporada de banys : mesura de govern","","text",""
"","Sector de Serveis Personals","","Barcelona","","","1998-01-30","1998","Presentada al Plenari del Consell Municipal de 30-01-1998","","","application/pdf","1 p.","11320","","","","","Mandat 1995-1999","http://hdl.handle.net/11703/84447","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Insubmissos. Servei militar obligatori","Sector públic","mesures de govern","","Insubmissió : mesura de govern","","text",""
"","Sector de Serveis Generals. Regidoria de Ciutat del Coneixement","","Barcelona","","","2003-04-11","2003","Presentada al Plenari del Consell Municipal de 11-04-2003. Citada a la Gaseta Municipal núm. 21 (10-07-2003)","","","application/pdf","6 p.","13183","","","","","Mandat 1999-2003","http://hdl.handle.net/11703/84509","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Divulgació científica. Educació sanitària","Ciència i tecnologia","mesures de govern","","Mesura de govern sobre la divulgació de la medicina al segle XXI","","text",""
"","Àrea d'Economia, Empresa i Ocupació. Barcelona Activa, S.A.","","Barcelona","","","2014-06-27","2014","Presentada al Plenari del Consell Municipal de 27-06-2014. Citada a la Gaseta Municipal núm. 24 (10-09-2014)","","","application/pdf","29 p.","14115","","","societats mercantils","","Mandat 2011-2015","http://hdl.handle.net/11703/84699","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Ocupació. Mercat de treball. Empreses d'inserció","Ocupació","mesures de govern","","Bons Compromís : Impuls a la creació d'ocupació : mesura de govern","","text",""
"","Sector de Serveis Personals","","Barcelona","","","1999-03-26","1999","Presentada al Plenari del Consell Municipal de 26-03-1999. Citada a la Gaseta Municipal núm. 16 (20-05-1999)","Digitalitzada pel SEDAC","","application/pdf","7 p.","12805","","","","","Mandat 1995-1999","http://hdl.handle.net/11703/86213","cat","Ajuntament de Barcelona","","","","","","","Reproducció digital del document en suport original","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Discapacitats. Supressió de barreres arquitectòniques","Urbanisme i infraestructures","mesures de govern. documents digitalitzats","","Mesura de govern: Criteris que cal tenir en compte en l'organització d'actes públics municipals","","text",""
"","Àrea de Cultura, Coneixement, Creativitat i Innovació","","Barcelona","","","2014-07-25","2014","Presentada al Plenari del Consell Municipal de 25-07-2014","","","application/pdf","8 p.","13930","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/84686","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Educació. Joves. Ocupació","Educació","mesures de govern","","Impuls a la formació professional dual per millorar la formació i l'ocupabilitat dels joves : mesura de govern","","text",""
"","Sector de Serveis Generals. Alcaldia","","Barcelona","","","1997-04-25","1997","Presentada al Plenari del Consell Municipal de 25-04-1997","","","application/pdf","1 p.","11299","","","","","Mandat 1995-1999","http://hdl.handle.net/11703/84484","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Urbanisme","Urbanisme i infraestructures","mesures de govern","","Revisió dels convenis amb Sant Adrià de Besòs : mesura de govern","","text",""
"","Àrea d'Hisenda i Promoció Econòmica","","Barcelona","","","2010-06-18","2010","Presentada al Plenari del Consell Municipal de 18-06-2010. Citada a la Gaseta Municipal núm. 24 (10-09-2010)","","","application/pdf","13 p.","13628","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/84646","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Economia","Economia","mesures de govern","","Pla d'austeritat econòmica i d'enfortiment de les prioritats del Govern : mesura de govern","","text",""
"","Àrea de Qualitat de Vida, Igualtat i Esports. Districte 1. Ciutat Vella","","Barcelona. Districte 1. Ciutat Vella","2014","","2014-05-06","2014","Presentada al Consell Plenari del Districte de Ciutat Vella de 06-05-2014","","","application/pdf","","18102","","","districtes","","Mandat 2011-2015","http://hdl.handle.net/11703/84794","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Civisme. Convivència","Societat i benestar","mesures de govern","Pla d'Estiu 2014 Ciutat Vella (Barcelona)","Pla d'Estiu 2014 Ciutat Vella : mesura de govern","","text",""
"","Àrea de Cultura, Coneixement, Creativitat i Innovació. Districte 5. Sarrià-Sant Gervasi","","Barcelona","","","2014-02-25","2014","Presentada al Consell Plenari del Districte de Sarrià-Sant Gervasi de 25-02-2011","","","application/pdf","3 p.","18138","","","districtes","","Mandat 2011-2015","http://hdl.handle.net/11703/84799","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Matemàtica. Aprenentatge","Cultura i oci","mesures de govern","","Fem matemàtiques : mesura de govern","","text",""
"","Àrea de Presidència, Règim Interior, Seguretat i Mobilitat","","Barcelona","","","2012-02-16","2012","Presentada al Plenari del Consell Municipal de 16-02-2012","","","application/pdf","3 p.","11101","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/84730","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Bombers","Seguretat","mesures de govern","","Mesura de govern per a l'increment de la dotació del Servei de Prevenció, Extinció d'Incendis i Salvament","","text",""
"","Regidoria de Cicle de Vida, Feminismes i LGTBI. Àrea de Drets Socials. Gerència de Recursos. Departament de Transversalitat de Gènere","","Barcelona","2015. 2016","","2015-12-23","2015","Presentada a la Comissió de Presidència, Drets de Ciutadania, Participació i Seguretat i Prevenció de 23-12-2015","","","application/pdf","22 p.","","","","","","Mandat 2015-","http://hdl.handle.net/11703/86446","cat","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Igualtat entre els sexes","Societat i benestar. Sector públic","mesures de govern","Pla Municipal per a la Igualtat d'Oportunitats Real i Efectiva entre Dones i Homes 2012-2015 (Barcelona)","La transversalitat de gènere a l'Ajuntament de Barcelona : mesura de govern","","text",""
"","Sector de Serveis Personals","","Barcelona","","","2006-01-27","2006","Presentada al Plenari del Consell Municipal de 27-01-2006. Citada a la Gaseta Municipal núm. 10 (30-03-2006)","","","application/pdf","2 p.","8540","","","","","Mandat 2003-2007","http://hdl.handle.net/11703/84554","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Contractes administratius. Municipis","Sector públic","mesures de govern","","Introducció de clàusules ambientals en els plecs tipus de la contractació municipal : mesura de govern","","text",""
"","Àrea d'Acció Social i Ciutadania","","Barcelona","2008. 2009. 2010. 2011. 2012. 2013","","2009-07-24","2009","Presentada al Plenari del Consell Municipal de 24-07-2009. Citada a la Gaseta Municipal núm. 27 (20-10-2009)","","","application/pdf","12 p.","13612","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/84580","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Serveis socials","Societat i benestar","mesures de govern","","Pla Director de Serveis Socials Especialitzats de Barcelona : mesura de govern","","text",""
"","Districte 1. Ciutat Vella","","Barcelona. Districte 1. Ciutat Vella","","","2017-03-16","2017","Presentada al Consell Plenari del Districte de Ciutat Vella de 16-03-2017","","","application/pdf","19 p.","","","","districtes","","Mandat 2015-","http://hdl.handle.net/11703/108065","cat","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Espais públics. Animació sociocultural. Comerç","Cultura i oci. Comerç","mesures de govern","","Criteris per a la realització d'activitats a la via pública : mesura de govern","","text",""
"","Sector de Serveis Generals","","Barcelona","","","2005-12-23","2005","Presentada al Plenari del Consell Municipal de 23-12-2005","","","application/pdf","2 p.","MG_ORDEREGADE","","","","","Mandat 2003-2007","http://hdl.handle.net/11703/96306","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Administració electrònica","Ciència i tecnologia","mesures de govern","","Mesura de govern sobre l'ordenança reguladora de l'administració electrònica","","text",""
"","Àrea d'Habitatge, Urbanisme i Règim Interior","","Barcelona. Districte 2. Eixample","","","2009-04-24","2009","Presentada al Plenari del Consell Municipal de 24-04-2009. Citada a la Gaseta Municipal núm. 17 (10-06-2009)","","","application/pdf","23 p.","13604","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/84634","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Presó Model de Barcelona. Presons. Urbanisme","Urbanisme i infraestructures","mesures de govern","","Mesura de govern per a la transformació del recinte de la presó Model","","text",""
