"dccontributorauthor","dccoveragespatial","dccoveragetemporal","dcdatecreated","dcdateissued","dcdescription","dcformat","dcformatextent","dcidentifierBG","dcidentifierab","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationisbasedon","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","Unnamed: 28"
"Consell Tributari Municipal (Barcelona)","Barcelona","","2002-09-18","2002","","application/pdf","8 p.",16582.0,"Núm. Exp. 94/2","consells","","http://hdl.handle.net/11703/87353","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos immobiliaris. Estimació de la base imposable","Hisenda","dictàmens","","Aplicació retroactiva del valor cadastral per falta de declaració de la nova construcció (94/2)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2005-11-23","2005","","application/pdf","5 p.",16869.0,"Núm. Exp. 159/4","consells","","http://hdl.handle.net/11703/87185","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos immobiliaris","Hisenda","dictàmens","","Extensió dels efectes d'una sentència a liquidacions d'altres exercicis que han adquirit fermesa (art. 110 LJCA) (159/4)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2009-05-13","2009","","application/pdf","3 p.",16759.0,"Núm. Exp. 100/8","consells","","http://hdl.handle.net/11703/87155","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos de plusvàlua","Hisenda","dictàmens","","Habitatge habitual del causant (100/8)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2003-05-26","2003","","application/pdf","3 p.",16868.0,"Núm. Exp. 775/2","consells","","http://hdl.handle.net/11703/87330","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Procediment administratiu. Impostos locals","Hisenda","dictàmens. sentències","","Extensió de doctrina del TSJ contraria a sentències del TS (775/2)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2009-06-22","2009","","application/pdf","11 p.",16937.0,"Núm. Exp. 402/6","consells","","http://hdl.handle.net/11703/87261","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals. Estimació de la base imposable","Hisenda","dictàmens","","Quantia. Règim d'estimació indirecta (402/6)","","text",""
"Consell de Ciutat de Barcelona","Barcelona","2008. 2009. 2010. 2011","2009-11","2009","","application/pdf","22 p.",4913.0,"","consells","","http://hdl.handle.net/11703/87364","cat","Consell de Ciutat de Barcelona","","","CC-BY","openAccess","","http://creativecommons.org/licenses/by/4.0/deed.ca","Planificació estratègica","Sector públic","dictàmens","Programa d'Actuació Municipal (PAM) 2008-2011 (Barcelona)","Dictamen sobre el Programa d'Actuació Municipal 2008-2011","","text",""
"Consell Econòmic i Social de Barcelona","Barcelona","","2000","2000","","application/pdf","2 p.",17647.0,"","consells","","http://hdl.handle.net/11703/87361","cat","Consell Econòmic i Social de Barcelona","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","MAQUINISTA TERRESTRE Y MARÍTIMA","Cultura i oci","dictàmens","","Resolució sobre el projecte del museu històric-social de ""Maquinista Terrestre i Marítima"" i ""MACOSA""","","text",""
"Sindicatura de Greuges de Barcelona","Barcelona. Districte 2. Eixample","","2015-12-31","2016-06-06","","application/pdf","7 p.","","Exp. 15Q000809-MS","","","http://hdl.handle.net/11703/97411","cat","","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Contaminació acústica. Reclamacions","Medi ambient","dictàmens","","Decisió de la síndica de greuges referent a la queixa presentada en matèria de contaminació acústica: concert de la Damm","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2005-12-14","2005","","application/pdf","3 p.",16807.0,"Núm. Exp. 29/5","consells","","http://hdl.handle.net/11703/87225","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos de plusvàlua","Hisenda","dictàmens","","Retracte legal arrendatici en compravenda (29/5)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2009-07-06","2009","","application/pdf","3 p.",16796.0,"Núm. Exp. 234/8","consells","","http://hdl.handle.net/11703/87206","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos de plusvàlua. Impostos immobiliaris","Hisenda","dictàmens","","Transmissió mitjançant document privat (234/8)","","text",""
"Consell de Ciutat de Barcelona","Barcelona","2012","2012","2012","","application/pdf","24 p.",9440.0,"","consells","","http://hdl.handle.net/11703/87377","cat","Consell de Ciutat de Barcelona","","","CC-BY","openAccess","","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupostos municipals","Hisenda","dictàmens","","Dictamen dels Pressupostos i ordenances fiscals 2012","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2007-05-07","2007","","application/pdf","4 p.",16589.0,"Núm. Exp. 7/6","consells","","http://hdl.handle.net/11703/87315","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos immobiliaris","Hisenda. Urbanisme i infraestructures","dictàmens","","Empreses d' urbanizació, construcció i promoció immobiliaria. Legitimació per a sol·licitar-la (7/6)","","text",""
"Consell Econòmic i Social de Barcelona","","","2016-10-09","2016","Podeu consultar la versió en català a: http://hdl.handle.net/11703/99140","application/pdf","24 p.","","","consells","","http://hdl.handle.net/11703/99165","cas","","http://hdl.handle.net/11703/99140","","CC-BY","openAccess","Consell Econòmic i Social de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Ocupació. Atur. Formació ocupacional","Ocupació","dictàmens","Estratègia per a l'Ocupació de Barcelona 2016-2020","Dictamen sobre la estrategia para el empleo de Barcelona 2016-2019","","text",""
"Sindicatura de Greuges de Barcelona","","2016. 2017","2017-07-10","2017-07-13","","application/pdf","6 p.","","Núm. Exp.: 16Q001006","","","http://hdl.handle.net/11703/105076","cat","","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Reclamacions. Salut pública. Herbicides. Espais públics","Salut","dictàmens","","Decisió de la Síndica de Greuges referent a una queixa presentada en matèria de salut pública","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2007-01-24","2007","","application/pdf","5 p.",17040.0,"Núm. Exp. 551/5","consells","","http://hdl.handle.net/11703/87287","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals. Procediment administratiu","Hisenda","dictàmens","","Referència a un recurs pendent efectuada en un altre recurs interposat contra actes diferents (551/5)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2013-05-22","2013","","application/pdf","3 p.",16822.0,"Núm. Exp. 91/13","consells","","http://hdl.handle.net/11703/87348","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Vehicles. Impostos locals. Estimació de la base imposable","Hisenda","dictàmens","","Impost sobre vehicles de tracció mecànica.  Fet imposable i meritació. Baixa per cessió a l'Ajuntament (91/13)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","1999-10-27","1999","","application/pdf","8 p.",16685.0,"Núm. Exp. 522/99","consells","","http://hdl.handle.net/11703/87281","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos immobiliaris","Hisenda","dictàmens","","Finançament de l'obra per les Administracions integrants del consorci que la contracta i gaudeix (522/99)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2011-03-02","2011","","application/pdf","4 p.",16760.0,"Núm. Exp. 370/10","consells","","http://hdl.handle.net/11703/87246","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos de plusvàlua. Deduccions fiscals","Hisenda","dictàmens","","Societat d'arrendament d'immobles (370/10)","","text",""
"Sindicatura de Greuges de Barcelona","","2016. 2017","2017-07-10","2017-07-13","","application/pdf","5 p.","","Núm. Exp. 16Q001246","","","http://hdl.handle.net/11703/105077","cat","","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Reclamacions. Servei d’Inserció Social. Discapacitats. Habitatge","Societat i benestar. Habitatge","dictàmens","","Decisió de la Síndica de Greuges referent a una queixa presentada en matèria de serveis centralitzats","","text",""
"Sindicatura de Greuges de Barcelona","Barcelona","2013","2013-10-10","2013","","application/pdf","16 p.",17062.0,"","","","http://hdl.handle.net/11703/87152","cat","Sindicatura de Greuges de Barcelona","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Serveis socials. Habitatge","Societat i benestar","dictàmens","","Evolució de les queixes en matèria d'habitatge i serveis socials en el primer semestre de 2013","","text",""
"Sindicatura de Greuges de Barcelona","","2017","2017-06-09","2017-06-29","Podeu consultar una nota de premsa referent a aquest tema en català a: http://hdl.handle.net/11703/101564, i en castellà a: http://hdl.handle.net/11703/101565","application/pdf","5 p.","","Núm. Exp.: 17Q000052-PA","","","http://hdl.handle.net/11703/103398","cat","","http://hdl.handle.net/11703/101564. http://hdl.handle.net/11703/101565","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Reclamacions. Hotels. Llicències d'obres. Turisme i urbanisme. Hostel de la Vila Olímpica (Barcelona)","Urbanisme i infraestructures. Turisme","dictàmens","","Decisió de la Síndica de Greuges referent a la queixa presentada per la Plataforma Veïnat Afectat pel Hostel Vila Olímpica en matèria de llicència d'obres i i disciplina urbanística","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2002-11-18","2002","","application/pdf","5 p.",16616.0,"Núm. Exp. 157/2","consells","","http://hdl.handle.net/11703/87183","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos immobiliaris","Hisenda","dictàmens","","Afecció de béns al pagament de deutes per aquest impost (157/2)","","text",""
"Sindicatura de Greuges de Barcelona","","2016. 2017","2017-07-07","2017-07-13","","application/pdf","4 p.","","Núm. Exp. 16Q001263","","","http://hdl.handle.net/11703/105078","cat","","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Reclamacions. Administració electrònica. Serveis d'informació a la comunitat","Ciència i tecnologia","dictàmens","","Decisió de la Síndica de Greuges referent a una queixa presentada en matèria de procediment administratiu comú","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2006-02-15","2006","","application/pdf","7 p.",16764.0,"Núm. Exp. 988/4","consells","","http://hdl.handle.net/11703/87358","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos de plusvàlua. Exempció d'impostos","Hisenda","dictàmens","","Exempció d'impostos. Congregacions religioses equiparades a entitats benèfiques (988/4)","","text",""
"Consell Econòmic i Social de Barcelona","Barcelona","2008","2007","2007","","application/pdf","26 p.",17620.0,"","consells","","http://hdl.handle.net/11703/87148","cas","Consell Econòmic i Social de Barcelona","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Pressupostos municipals","Sector públic. Economia","dictàmens. pressupostos","","Dictamen sobre los presupuestos generales del Ayuntamiento de Barcelona 2008","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2014-04-30","2014","","application/pdf","3 p.",16812.0,"Núm. Exp. 251/13","consells","","http://hdl.handle.net/11703/87213","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos de plusvàlua. Sancions econòmiques","Hisenda","dictàmens","","Societat que redueix capital amb transmissió de bé immoble a soci: és subjecte passiu la societat (251/13)","","text",""
"Consell Econòmic i Social de Barcelona","Barcelona","","2007","2007","","application/pdf","22 p.",17639.0,"","consells","","http://hdl.handle.net/11703/87150","cas","Consell Econòmic i Social de Barcelona","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Barris. Integració social","Societat i benestar. Sector públic","dictàmens","","Dictamen. Los barrios como eje de la participación y la cohesión social en Barcelona","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2016-02-15","2016-03","","application/pdf","4 p.","","Exp. 430/15","consells","","http://hdl.handle.net/11703/89670","cat","","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos de plusvàlua","Hisenda","dictàmens","","Interrupció de la prescripció: Actuacions adreçades a l'anterior titular mort","","text",""
"Consell de Ciutat de Barcelona","Barcelona","2010. 2011. 2012. 2013. 2014. 2015","2012","2012","","application/pdf","19 p.",9437.0,"","consells","","http://hdl.handle.net/11703/87366","cat","Consell de Ciutat de Barcelona","","","CC-BY","openAccess","","http://creativecommons.org/licenses/by/4.0/deed.ca","Participació ciutadana","Sector públic","dictàmens","Pla Director Municipal de Participació Ciutadana 2010-2015 (Barcelona)","Dictamen sobre el procés metodològic i la valoració dels continguts del Pla Director Municipal de Participació Ciutadana","","text",""
"Consell Tributari Municipal (Barcelona)","","","2016-12-14","2017-02","","application/pdf","6 p.","","Ref. 208/16","consells","","http://hdl.handle.net/11703/100140","cat","","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos sobre activitats econòmiques. Deduccions fiscals. Béns immobles","Hisenda","dictàmens","","Requisits, segons el Tribunal Suprem, perquè pugui considerar-se una transmissió patrimonial com a ""branca d'activitat"" a efectes de gaudir de beneficis fiscals","","text",""
"Consell Tributari Municipal (Barcelona)","","","2017-03","2017-05","","application/pdf","9 p.","","Ref. 49/17","consells","","http://hdl.handle.net/11703/102094","cat","","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Hisenda","dictàmens","","Impost sobre activitats econòmiques: Improcedència de l'exempció per la naturalesa mercantil de la recurrent.","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2008-12-10","2008","","application/pdf","5 p.",16512.0,"Núm. Exp. 266/7","consells","","http://hdl.handle.net/11703/87218","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos sobre activitats econòmiques. Exempció d'impostos","Hisenda","dictàmens","","Subjectes passius de l'IS amb xifra de negocis inferior al milió d'euros. Grup de societats (266/7)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2010-01-20","2010","","application/pdf","5 p.",16939.0,"Núm. Exp. 217/8","consells","","http://hdl.handle.net/11703/87198","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals","Hisenda","dictàmens","","Fet imposable. Gual (217/8)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2002-06-17","2002","","application/pdf","3 p.",16998.0,"Núm. Exp. 259/2","consells","","http://hdl.handle.net/11703/87215","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos sobre activitats econòmiques","Hisenda","dictàmens","","Actuacions adreçades al cobrament del deute amb coneixement del subjecte passiu (259/2)","","text",""
"Consell Econòmic i Social de Barcelona","Barcelona","2008","2008","2008","","application/pdf","26 p.",17619.0,"","consells","","http://hdl.handle.net/11703/87130","cat","Consell Econòmic i Social de Barcelona","","","CC-BY","openAccess","","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupostos municipals","Sector públic. Economia","dictàmens. pressupostos","","Dictamen sobre els pressupostos generals de l'Ajuntament de Barcelona 2008","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2008-11-05","2008","","application/pdf","5 p.",16720.0,"Núm. Exp. 213/7","consells","","http://hdl.handle.net/11703/87205","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos de plusvàlua","Hisenda","dictàmens","","Lliurament de llegat (213/7)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2006-04-19","2006","","application/pdf","4 p.",17038.0,"Núm. Exp. 413/4","consells","","http://hdl.handle.net/11703/87267","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals. Procediment administratiu. Reclamacions","Hisenda","dictàmens","","Titularitat del vehicle apte per circular (413/4)","","text",""
"Consell Econòmic i Social de Barcelona","Barcelona","2008","2008","2008","","application/pdf","16 p.",11489.0,"","consells","","http://hdl.handle.net/11703/87134","cas","Consell Econòmic i Social de Barcelona","","","CC-BY","openAccess","","http://creativecommons.org/licenses/by/4.0/deed.ca","Política fiscal","Sector públic. Hisenda","dictàmens. ordenances fiscals","","Dictamen sobre las Ordenanzas fiscales 2008","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2003-05-28","2003","","application/pdf","5 p.",16907.0,"Núm. Exp. 370/2","consells","","http://hdl.handle.net/11703/87247","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals. Procediment administratiu. Inspecció fiscal","Hisenda","dictàmens","","Liquidacions. Audiència prèvia a l'interessat en les liquidacions provisionals d'ofici (370/2)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2009-05-20","2009","","application/pdf","3 p.",16603.0,"Núm. Exp. 278/8","consells","","http://hdl.handle.net/11703/87222","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos immobiliaris. Exempció d'impostos","Hisenda","dictàmens","","Entitats sense fins lucratius. Llei 49/2002 (278/8)","","text",""
"Consell Tributari Municipal (Barcelona)","","","2016-09-07","2017-01","","application/pdf","4 p.","","Ref. 175/16","consells","","http://hdl.handle.net/11703/100005","cat","","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals. Impostos immobiliaris","Hisenda","dictàmens","","La dissolució de condomini no produeix transmissió","","text",""
"Consell de Ciutat de Barcelona","Barcelona","","2011","2011","","application/pdf","21 p.",9460.0,"","consells","","http://hdl.handle.net/11703/87375","cat","Consell de Ciutat de Barcelona","","","CC-BY","openAccess","","http://creativecommons.org/licenses/by/4.0/deed.ca","Qualitat de vida. Desenvolupament sostenible. Temps","Sector públic","dictàmens","","Dictamen del Pacte del Temps","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2009-03-18","2009","","application/pdf","3 p.",16752.0,"Núm. Exp. 560/6","consells","","http://hdl.handle.net/11703/87290","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos de plusvàlua. Estimació de la base imposable","Hisenda","dictàmens","","Valor cadastral. Alteració en el mateix exercici que es van transmetre els pisos resultants (560/6)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2011-04-27","2011","","application/pdf","5 p.",17051.0,"Núm. Exp. 275/10","consells","","http://hdl.handle.net/11703/87221","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals. Sancions econòmiques","Hisenda","dictàmens","","Devolució proporcional de l'aval de liquidació anul·lada i substituïda per una altra (275/10)","","text",""
"Consell Tributari Municipal (Barcelona)","","","2017-05-10","2018-01","","application/pdf","8 p.","","Núm. Exp. 170/17","","","http://hdl.handle.net/11703/107612","cat","","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Bens immobles. Impostos immobiliaris. Exempció d'impostos. Biblioteques","Hisenda","dictàmens","","Béns de l'Estat afectes formalment a un servei educatiu que no es presta efectivament. Exempcions (170/17)","","text",""
"Sindicatura de Greuges de Barcelona","Barcelona","","2013-07-15","2013","","application/pdf","10 p.",17232.0,"","","","http://hdl.handle.net/11703/87110","cat","Sindicatura de Greuges de Barcelona","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Participació ciutadana","Societat i benestar","dictàmens","","Decisió de la Síndica de Greuges referent a la queixa presentada en matèria de participació ciutadana","","text",""
"Consell Tributari Municipal (Barcelona)","","","2017-07-25","2018-01","","application/pdf","3 p.","","Núm. Exp. 180/17","","","http://hdl.handle.net/11703/107613","cat","","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Bens immobles. Impostos de plusvàlua. Reclamacions","Hisenda","dictàmens","","Nul·litat de ple dret. Manca del tràmit d'audiència previ a la pràctica de les liquidacions en el procediment de comprovació limitada (180/17)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2004-06-23","2004","","application/pdf","23 p.",16950.0,"Núm. Exp. 290/4","consells","","http://hdl.handle.net/11703/87226","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Deduccions fiscals. Exempció d'impostos. Impostos locals","Hisenda","dictàmens","","Entitats sense ànim de lucre. Llei 49/2002 (290/4)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2004-02-11","2004","","application/pdf","4 p.",16681.0,"Núm. Exp. 711/2","consells","","http://hdl.handle.net/11703/87317","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos immobiliaris. Estimació de la base imposable","Hisenda","dictàmens","","Realització d'instal·lacions segons llicencia d'activitat (711/2)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2002-12-16","2002","","application/pdf","5 p.",16528.0,"Núm. Exp. 686/1","consells","","http://hdl.handle.net/11703/87312","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos sobre activitats econòmiques","Hisenda","dictàmens","","Qualificació de l'activitat. Promoció d'edificacions (686/1)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2012-06-27","2012","","application/pdf","8 p.",16679.0,"Núm. Exp. 94/11","consells","","http://hdl.handle.net/11703/87352","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos immobiliaris. Estimació de la base imposable","Hisenda","dictàmens","","Impostos immobiliaris. Estimació de la base imposable. Comunicació prèvia (94/11)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2008-09-22","2008","","application/pdf","3 p.",17050.0,"Núm. Exp. 146/7","consells","","http://hdl.handle.net/11703/87174","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos immobiliaris","Hisenda","dictàmens","","Anul·lació dels actes recorreguts per prescripció sobrevinguda (146/7)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2005-04-25","2005","","application/pdf","3 p.",16824.0,"Núm. Exp. 67/5","consells","","http://hdl.handle.net/11703/87309","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Vehicles. Impostos locals. Estimació de la base imposable","Hisenda","dictàmens","","Transferència del vehicle. Data de transferència en la Prefectura Provincial de Trànsit diferent a la que consta en el permís de circulació (67/5)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2014-06-18","2014","","application/pdf","10 p.",16777.0,"Núm. Exp. 77/14","consells","","http://hdl.handle.net/11703/87329","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos de plusvàlua. Estimació de la base imposable","Hisenda","dictàmens","","Existència de fet imposable. Avaluació històrica del càlcul de l'increment (77/14)","","text",""
"Consell de Ciutat de Barcelona","Barcelona","","2013","2013","","application/pdf","49 p.",12519.0,"","consells. associacions","","http://hdl.handle.net/11703/87370","cat","Consell de Ciutat de Barcelona","","","CC-BY","openAccess","","http://creativecommons.org/licenses/by/4.0/deed.ca","Crisis econòmiques","Societat i benestar","dictàmens","","Dictàmen Teixit associatiu i abordatge de la crisi; Acció comunitària i alimentació","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2003-03-31","2003","","application/pdf","4 p.",16763.0,"Núm. Exp. 654/2","consells","","http://hdl.handle.net/11703/87305","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos de plusvàlua. Exempció d'impostos","Hisenda","dictàmens","","Atribució d'un immoble en conveni d'extinció d'unió estable de parella aprovat judicialment (654/2)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2000-02-14","2000","","application/pdf","9 p.",17017.0,"Núm. Exp. 718/99","consells","","http://hdl.handle.net/11703/87320","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Sancions econòmiques. Impostos locals","Hisenda","dictàmens","","Imputació de pagaments. Prescripció d'infraccions i sancions. Multes de trànsit (718/99)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2014-09-17","2014","","application/pdf","4 p.",16628.0,"Núm. Exp. 110/13","consells","","http://hdl.handle.net/11703/87162","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals. Estimació de la base imposable","Hisenda","dictàmens","","Cost real i efectiu de l'obra. Central tèrmica (110/13)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","1996-05-06","1996","","application/pdf","8 p.",16831.0,"Núm. Exp. 306/95","consells","","http://hdl.handle.net/11703/87231","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals. Guals. Espais públics","Hisenda","dictàmens. preus públics","","Dipòsit en garantia de la reposició d'elements urbanístics (306/95)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2003-11-24","2003","","application/pdf","4 p.",16522.0,"Núm. Exp. 560/2","consells","","http://hdl.handle.net/11703/87289","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos sobre activitats econòmiques. Sancions econòmiques","Hisenda","dictàmens","","Bonificació per inici d'activitat. Termini per sol·licitar-la (560/2)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2003-06-02","2003","","application/pdf","3 p.",16878.0,"Núm. Exp. 682/2","consells","","http://hdl.handle.net/11703/87311","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals. Procediment administratiu. Sancions econòmiques","Hisenda","dictàmens","","Límits. Comptes bancaris amb sous o pensions (682/2)","","text",""
