"dccontributorauthor","dccoveragespatial","dccoveragetemporal","dcdatecreated","dcdateissued","dcdescription","dcdescriptionabstract","dcdescriptionsponsorship","dcformat","dcformatextent","dcformatmedium","dcidentifierimagurb","dcidentifierimagurbcd","dcidentifieruri","dcpublisher","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectforma","dcsubjectimagurb","dctitle","dctype","Unnamed: 24"
"Cunill, Julio. Departament d'Arquitectura i Projectes Urbans","Barcelona. Districte 6. Gràcia. Lesseps, Plaça (Barcelona)","","2009-07-22","2009-10-06","Periel Piquer, Montserrat;Canosa, Josep Lluís. Pla de detall de la barana a les escales de l'entrada al metro a la plaça Lesseps. Està feta d'acer inoxidable i vidre.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","31386. EU223BAR_03",223.0,"http://hdl.handle.net/11703/75392","","CC-BY-ND","openAccess","Cunill, Julio. Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nd/4.0/deed.ca","","fotografies","BARANES. ELEMENTS URBANS. Periel Piquer, Montserrat. CANOSA, Josep Lluís","Barana V de vidre","image",""
"Cunill, Julio. Servei d'Elements Urbans. CBFOTO","Barcelona. Districte 1. Ciutat Vella. Portaferrissa, Carrer (Barcelona)","","1988-01-01","2002-01-01","Data aproximada. Primeríssim primer pla d'uns paviments al   carrer Portaferrissa amb Canuda.  Aquests es composen a partir d'unes   llambordes de color gris, on es combinen  dos tipus de composicions. Hi destaca la   de forma d'espina de peix a la francesa.","","","image/jpeg","1 diapositiva","Diapositiva. DIAPOSITIVES 24x36. Color","401. DEUPAV6_8",13.0,"http://hdl.handle.net/11703/73788","","CC-BY-ND","openAccess","Cunill, Julio. Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nd/4.0/deed.ca","","fotografies. documents digitalitzats","PAVIMENTS. ELEMENTS URBANS","Paviments al carrer Portaferrissa amb Canuda","image",""
"Cunill, Julio. Departament d'Arquitectura i Projectes Urbans","","","2009-05-13","2009-10-19","Primer pla d'una tapa quadrada d'aigua potable que duu   la inscripció de les Aigües de Barcelona i l'escut  que l'identifica. S'hi han afegit motius ornamentals  en forma d'ones d'aigua.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","31466. EU223TAP_06",223.0,"http://hdl.handle.net/11703/75465","","CC-BY-ND","openAccess","Cunill, Julio. Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nd/4.0/deed.ca","","fotografies","ELEMENTS URBANS. TAPES","Tapa d'aigua potable","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Llucmajor, Plaça (Barcelona). Barcelona. Districte 8. Nou Barris","","1995-09-01","2002-01-01","Primer pla d'una Font Elies Rogent.  És de ferro i les seves quatre piles de desguàs,   ens recorden a la Font de Canaletes.  A la part central de la font, trobem una petita   columna. D'aquesta, s'agafen unes aixetes  de llautó.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","794. NEUFON1403B_6",25.0,"http://hdl.handle.net/11703/74175","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","FONTS. ELEMENTS URBANS","Font Elies Rogent","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","","","1993-06-17","2002-01-01","","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","1216. NEUFON707_31",39.0,"http://hdl.handle.net/11703/74596","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","FONTS","Font a la plaça del Roser","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","","","1995-05-01","2002-01-01","Data aproximada. Montes, Antonio. Primer pla d'una vorada d'embornal i pou   de registre.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","1597. NEUVOR1858_22",50.0,"http://hdl.handle.net/11703/74976","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","EMBORNALS I POUS DE REGISTRE. MONTES GIL, Antonio","Vorada embornal bústia","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","","1991","1994-07-12","2002-01-01","Roselló, Antoni. Primer pla d'unes joguines infantils model   Olimpia. Es composen de diferents mòduls   que permeten qualsevol tipus de col·locació.  S'ubiquen al carrer Carme.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","1400. NEUJOGINF1078_11",44.0,"http://hdl.handle.net/11703/74780","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","JOGUINES INFANTILS. FUNDICIONES DE HIERROS COLOMER, S.A.. ROSELLÓ, Antoni","Jocs Olimpia","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Barcelona. Districte 1. Ciutat Vella","","1993-04-05","2002-01-01","Bonifaç, Lluís. Primer pla de la font de pedra, situada al   pati de la Casa Convalescència, a l'Hospital  de la Santa Creu.   Es mostra la part frontal de la font i la part  posterior de l'escultura que la culmina.   Aquesta representa a Sant Pau.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","930. NEUFON646_32",30.0,"http://hdl.handle.net/11703/74311","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","ELEMENTS URBANS. FONTS. Escultures i monuments. BONIFAÇ, Lluís","Font al pati de l'Hospital de la Santa Creu","image",""
"Servei d'Elements Urbans","Juan de Mena, Carrer (Barcelona)","","1987-03-01","2002-01-01","Data aproximada. Primer pla d'unes joguines infantils realitzades  de fusta, ubicades al carrer Juan de Mena.  Es veuen nens enfilant-se per dits elements.","","","image/jpeg","1 diapositiva","Diapositiva. DIAPOSITIVES 24x36. Color","285. DEUJOGINF1_19",9.0,"http://hdl.handle.net/11703/73673","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","JOGUINES INFANTILS. ELEMENTS URBANS","Joguines infantils al carrer Juan de Mena","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Poeta Boscà, Plaça (Barcelona)","1991","1992-10-05","2002-01-01","Roselló, Antoni. Primer pla d'unes joguines infantils, model  Olimpia a la plaça Poeta Boscà.  Aquests elements estan realitzats amb   tubs d'acer inoxidable i fusta de teka.  Es poden fer diferents composicions, ja que  el sistema és modular.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","1410. NEUJOGINF526_12",45.0,"http://hdl.handle.net/11703/74790","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","JOGUINES INFANTILS. ROSELLÓ, Antoni","Jocs Olimpia","image",""
"Cunill, Julio. Departament d'Arquitectura i Projectes Urbans","","","2009-05-13","2009-10-14","Primer pla d'un paviment de lloses de pedra  en forma quadrada destinat al trànsit de   vianants i, en aquest cas, combinat amb gespa.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","31426. EU223PAV_10",223.0,"http://hdl.handle.net/11703/75431","","CC-BY-ND","openAccess","Cunill, Julio. Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nd/4.0/deed.ca","","fotografies","ELEMENTS URBANS. PAVIMENTS","Paviment enjardinat","image",""
"Cunill, Julio. Departament d'Arquitectura i Projectes Urbans","","","2009-07-22","2009-10-13","Montes, Antonio;Periel Piquer, Montserrat. Primer pla d'una columna de tub d'acer galvanitzat   de guix 3mm amb cargols i volandera.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","31413. EU223ENL_07",223.0,"http://hdl.handle.net/11703/75418","","CC-BY-ND","openAccess","Cunill, Julio. Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nd/4.0/deed.ca","","fotografies","ELEMENTS URBANS. ENLLUMENAT. COLUMNES. MONTES GIL, Antonio. Periel Piquer, Montserrat","Fanal Plus","image",""
"Escudé Ollé, Rafael. Imatge i Producció Editorial","Barcelona. Districte 1. Ciutat Vella. Picasso, Passeig (Barcelona). Pujades, Carrer (Barcelona). Wellington, Carrer (Barcelona). Parc de la Ciutadella (Barcelona)","","","2004-11-15","Vista general d'una parc del zoo.","","","image/jpeg","","","26229. BCN042532","","http://hdl.handle.net/11703/75249","","CC-BY","openAccess","","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","ELEMENTS URBANS. PARCS","Parc de la Ciutadella","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Gràcia, Travessera de (Barcelona). Barcelona. Districte 6. Gràcia. Montmany, Carrer (Barcelona)","","1993-06-21","2002-01-01","Bibliografia: ""Barcelona art i aigua"". Barcelona : Aldina, 1986. Primer pla d'una font de fornícula ubicada   a la travessera de Gràcia amb el carrer Montmany.  Es tracta d'una font mural senzilla, la qual té  una aixeta de llautó envoltada de rajoles de  color verd.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","1257. NEUFON710_35",40.0,"http://hdl.handle.net/11703/74637","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","FONTS. ELEMENTS URBANS","Font a la travessera de Gràcia amb el carrer Montmany","image",""
"Cunill, Julio. Departament d'Arquitectura i Projectes Urbans","","","2009-07-22","2009-10-13","Servei d'Elements Urbans. Primer pla d'una reixa d'embornal localitzada  a la zona de vianants.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","31403. EU223EMBPOU_04",223.0,"http://hdl.handle.net/11703/75408","","CC-BY-ND","openAccess","Cunill, Julio. Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nd/4.0/deed.ca","","fotografies","ELEMENTS URBANS. EMBORNALS I POUS DE REGISTRE","Reixa d'embornal","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Pere Figuera i Serra, Plaça (Barcelona). Barcelona. Districte 5. Sarrià-Sant Gervasi","","1997-10-06","2002-01-01","Primeríssim primer pla d'una aixeta encastada  a una font de la plaça Pere Figuera i Serra.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","827. NEUFON2332_36",26.0,"http://hdl.handle.net/11703/74208","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","ELEMENTS URBANS. FONTS","Font a la plaça Pere Figuera i Serra","image",""
"Cunill, Julio. Departament d'Arquitectura i Projectes Urbans","","","2009-05-13","2009-10-14","Gabàs, Marta;Casamor, Carles. Primer pla d'un escocell de fosa amb   superfícies interiors rugoses per a la fixació del   formigó.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","31419. EU223ESC_09",223.0,"http://hdl.handle.net/11703/75424","","CC-BY-ND","openAccess","Cunill, Julio. Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nd/4.0/deed.ca","","fotografies","ELEMENTS URBANS. ESCOCELLS. GABÀS, Marta. CASAMOR MALDONADO, Carles","Escocell Brico quadrat","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Barcelona. Districte 2. Eixample. Goya, Plaça (Barcelona)","","1993-01-01","2002-01-01","Data aproximada; Bibliografia: Vázquez Montalbán, Manuel, ""Barcelona fuente a fuente"". Barcelona: REPSOL, 1990. Alentorn, Eduard Baptista. Primeríssim primer pla de la base de la font  de la Tortuga, a la plaça Goya.  Aquesta és de pedra i té forma circular.  Es poden veure les tres piles de l'element.  Tres canelles i un brollador submnistren l'aigua.  La font s'instal·là el 1915.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","1013. NEUFON658_18",32.0,"http://hdl.handle.net/11703/74394","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","FONTS. ELEMENTS URBANS. ALENTORN, Eduard Baptista","Font a la plaça Goya","image",""
"Cunill, Julio. CBFOTO. Servei d’Elements Urbans","Barcelona. Districte 1. Ciutat Vella. Gòtic (Barcelona : Barri). Reial, Plaça (Barcelona)","","1986","2017","","","Digitalitzat per Tecnodoc","image/jpeg","1 fotografia","Digitalitzat. TIFF. Color","NEUBAN3651_05",188.0,"http://hdl.handle.net/11703/102860","","CC-BY-ND","openAccess","Cunill, Julio. CBFOTO. Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nd/4.0/deed.ca","","fotografies. documents digitalitzats","ELEMENTS URBANS. BANCS","Banc romàntic a la Plaça Reial","image",""
"Servei d'Elements Urbans","Poble Romaní, Plaça (Barcelona). Barcelona. Districte 6. Gràcia","","","2002-01-01","Pla general d'una part de la plaça del Poble   Romaní on es mostra una barana d'acer i   una paperera model Barcelona.","","","image/jpeg","1 diapositiva","Diapositiva. DIAPOSITIVES 24x36. Color","102. DEUBAR4_3",3.0,"http://hdl.handle.net/11703/73490","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","BARANES. ELEMENTS URBANS","Barana a la plaça Poble Romaní","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","","","1994-08-30","2002-01-01","Primer pla d'una boca de metro, on destaca  una barana amb passamà d'acer inoxidable  i unes brèndoles molt originals, les quals   combinen les formes dels barrots verticals  amb una mena de 2 del dret i del revés,   que s'entrellacen.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","534. NEUBAR1110_10",17.0,"http://hdl.handle.net/11703/73921","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","BARANES. ELEMENTS URBANS","Barana del Metro","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Guipúscoa, Rambla (Barcelona)","","1997-04-01","2002-01-01","Roselló, Antoni; Asociación Española de Fabricantes de Helados. Primer pla de la part frontal i d'un lateral   d'un quiosc de gelats. S'ubica a la rambla   Guipúscoa amb Calàbria. L'estructura de   l'element està feta amb perfils tubulars   d'acer inoxidable i vidres laminats.   El quiosc es troba tancat.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","1535. NEUQUIGEL2134_26",49.0,"http://hdl.handle.net/11703/74915","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","Quioscos. Gelats, sorbets, etc.. ROSELLÓ, Antoni","Quiosc venda de gelats","image",""
"Servei d'Elements Urbans","","","","2003-04-01","Número de fitxa al catàleg acutal: 5.1.10. Milà, Miguel. Dibuix tècnic relatiu a un banc Neoromàntic.  Aquest està realitzat amb fusta de ""Iroko"" i  suport de fosa de ferro.","","","application/pdf","1 dibuix tècnic","Positiu. Blanc i negre","1704. DEUBAN1_CV416","","http://hdl.handle.net/11703/75038","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","dibuixos tècnics. documents digitalitzats","BANCS. ELEMENTS URBANS. MILÀ, Miguel. SANTA & COLE","Banc Neoromàntic","image",""
"Servei d'Elements Urbans","","","","2002-01-01","De Godó Llimona, Ramón. Fitxa del catàleg del Servei d'Elements  Urbans, on es presenta el dibuix tècnic  d'un element urbà de tipus comercial,  concretament d'una xurreria.","","","image/jpeg","1 diapositiva","Diapositiva. DIAPOSITIVES 24x36. Color","489. DEUQUIXUR1_1",16.0,"http://hdl.handle.net/11703/73876","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","dibuixos tècnics. documents digitalitzats","Quioscos. DE GODÓ LLIMONA, Ramón","Quiosc xurreria","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Parc de Les Tres Xemeneies (Barcelona)","","1996-01-18","2002-01-01","Primer pla de la base d''un fanal al Parc de Les Tres Xemeneies. Es mostra la base de la columna de l'element, així com la placa de presa de terra. Aquesta té forma triangular.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","676. NEUENL1559_20",22.0,"http://hdl.handle.net/11703/74063","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","ELEMENTS URBANS. ENLLUMENAT","Fanal al Parc de les Tres Ximeneies","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Barcelona. Districte 4. Les Corts","","1993-06-09","2002-01-01","Pla general d'una part del Palau de Pedralbes.  Hi destaca, envoltada de fanals, una font   de forma quadrada instal·lada al nivell de   terra. Al mig de l'element, trobem un brollador.  La font hi és sense aigua.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","1135. NEUFON692_29",36.0,"http://hdl.handle.net/11703/74515","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","FONTS. ELEMENTS URBANS","Font als Jardins del Palau de Pedralbes","image",""
"Cunill, Julio. Departament d'Arquitectura i Projectes Urbans","Barcelona. Districte 1. Ciutat Vella. Universitat, Plaça (Barcelona)","","2009-05-13","2009-10-16","Primer pla d'un parquímetre destinat als   usuaris dels vehicles estacionats en la   calçada. Aquest element és en la seva  totalitat de color blau excepte la planta que  és gris. En el lateral dret s'hi ha adherit una   senyal de pàrquing.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","31437. EU223PAR_02",223.0,"http://hdl.handle.net/11703/75440","","CC-BY-ND","openAccess","Cunill, Julio. Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nd/4.0/deed.ca","","fotografies","ELEMENTS URBANS. PARQUÍMETRES","Parquímetre","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Príncep d'Astúries, Avinguda (Barcelona)","","1996-11-12","2002-01-01","Pericas, Enric. Primer pla d'una torreta de ventil·lació de   central transformadora.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","1596. NEUVEN2013_9",50.0,"http://hdl.handle.net/11703/74975","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","VENTILACIÓ. ELEMENTS URBANS. Pericas, Enric","Torreta de ventilació","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Espanya, Plaça (Barcelona)","1991","1998-10-22","2002-01-01","Informació extreta del llibre: Elementos urbanos: mobiliario y microarquitectura, de Josep Ma. Serra. Foster, Norman. Primer pla d'una marquesina d'autobús,  model Foster, a la plaça Espanya..  Està construida en acer i alumini pintats   al forn de color gris metal·litzat.   Disposa d'un banc per a quatre persones,  que es subjecta a un vidre.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","1418. NEUMARBUS2719_0",45.0,"http://hdl.handle.net/11703/74798","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","MARQUESINA BUS. FOSTER, Norman","Marquesina bus Foster 1550","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Universitat, Plaça (Barcelona)","","1995-11-17","2002-01-01","Martínez Lapeña, J. A.; Torres, Elies; Canosa, J. L.. Primer pla lateral, d'un Panell d'Informació   de Metro (O.P.I) i d'un pal de parada de   metro a la plaça Universitat. L'O.P.I. està   sent observat per una persona.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","1454. NEUPAN1509_8",46.0,"http://hdl.handle.net/11703/74834","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","PANELLS. MARTÍNEZ LAPEÑA, J.A.","Panell d'Informació de Metro (O.P.I.)","image",""
"Cunill, Julio. CBFOTO. Servei d’Elements Urbans","Barcelona","","1983","2017","","","Digitalitzat per Tecnodoc","image/jpeg","1 fotografia","Digitalitzat. TIFF. Blanc i negre","NEUQUIPRE2469_29",190.0,"http://hdl.handle.net/11703/105123","","CC-BY-ND","openAccess","Cunill, Julio. CBFOTO. Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nd/4.0/deed.ca","","fotografies. documents digitalitzats","ELEMENTS URBANS. Quioscos","Prototip de quiosc de premsa","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Parc de Josep Maria Serra Martí (Barcelona)","1990","1991-03-26","2002-01-01","Roselló, Antoni. Primer pla d'una font model Georgina, d'acer inoxidable. S'ubica davant un mur de maó, al Parc de Josep Maria Serra Martí.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","807. NEUFON190_20",26.0,"http://hdl.handle.net/11703/74188","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","FONTS. ELEMENTS URBANS. ROSELLÓ, Antoni","Font Georgina","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Barcelona. Districte 3. Sants-Montjuïc. Reina Maria Cristina, Avinguda (Barcelona). Carles Buïgas, Plaça (Barcelona)","","1992-08-13","2002-01-01","Buïgas, Carles. Gran pla general on es mostra l'avinguda   Reina Maria Cristina des de la Font Màgica,  fins les Torres Venecianes.  Es situa a la plaça Carles Buïgas.  La font es troba sense funcionar.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","860. NEUFON510_5",27.0,"http://hdl.handle.net/11703/74241","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","ELEMENTS URBANS. FONTS. Escultures i monuments. Buigas, Carlos","Font Màgica","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Parc de les Aigües (Barcelona). Barcelona. Districte 7. Horta-Guinardó","","1993-06-25","2002-01-01","Pla general d'una part del Parc de les Aigües, on es mostra una font mural de fornícula. Aquesta és de pedra, de color blanc i es troba instal·lada a un baix mur de maó. Davant la font, veiem uns arbusts i plantes.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","1283. NEUFON714_23",41.0,"http://hdl.handle.net/11703/74663","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","FONTS. ELEMENTS URBANS","Font al Parc de les Aïgues","image",""
"Cunill, Julio. CBFOTO. Servei d’Elements Urbans","Barcelona. Districte 8. Nou Barris. Rio de Janeiro, Avinguda (Barcelona). Manuel Sanchis Guarner, Carrer (Barcelona)","","1984","2017","","","Digitalitzat per Tecnodoc","image/jpeg","1 fotografia","Digitalitzat. TIFF. Blanc i negre","NEUD08MOB2738_09",189.0,"http://hdl.handle.net/11703/104966","","CC-BY-ND","openAccess","Cunill, Julio. CBFOTO. Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nd/4.0/deed.ca","","fotografies. documents digitalitzats","ELEMENTS URBANS","Accés als habitatges del carrer Manuel Sanchis Guarner","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Barcelona. Districte 3. Sants-Montjuïc. Parc de Montjuïc (Barcelona)","","1993-05-03","2002-01-01","Data aproximada. Primer pla d'una font de pedra. L'element es situa a les escales del Generalife, adossada a un mur. La pila de desguàs de la font és semicircular i l'aigua que hi vessa, queda recollida en una mena de petit estany.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","1038. NEUFON665_25",33.0,"http://hdl.handle.net/11703/74419","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","FONTS. ELEMENTS URBANS","Font a les escales del Generalife","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Gràcia, Passeig (Barcelona)","1900","1990-05-05","2002-01-01","FALQUÉS URPÍ, Pere. Primer pla d'un fanal molt característic del passeig de Gràcia, on s'ubica. Està realitzat amb ferro forjat i la lluminària  consisteix en un petit globus de color  blanc, seccionat. L'element està inspirat en l'obra de Gaudí.","","","image/jpeg","1 contacte","Positiu. CONTACTES 6X6. Color","715. NEUENLX428_13",23.0,"http://hdl.handle.net/11703/74101","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","ENLLUMENAT. ELEMENTS URBANS. FALQUÉS URPÍ, Pere","Fanal al passeig de Gràcia","image",""
"Servei d'Elements Urbans","Josep M. Folch i Torres, Plaça (Barcelona). Barcelona. Districte 1. Ciutat Vella","","","2002-01-01","Pla general d'una part de la plaça Josep M.  Folch i Torres, on es mostra una marquesina,  la qual es subjecta a partir d'unes columnes.  Dit element cobreix uns bancs d'estil romàntic.","","","image/jpeg","1 diapositiva","Diapositiva. DIAPOSITIVES 24x36. Color","303. DEUMAR1_6",10.0,"http://hdl.handle.net/11703/73691","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","MARQUESINES. ELEMENTS URBANS","Marquesina a la plaça Josep M. Folch i Torres","image",""
"Cunill, Julio. Departament d'Arquitectura i Projectes Urbans","","","2009-07-22","2009-10-13","Artigues, Jaume;Barjuan, Josep. Primer pla d'una reixa de fundició dúctil en  calçada.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","31406. EU223EMBPOU_07",223.0,"http://hdl.handle.net/11703/75411","","CC-BY-ND","openAccess","Cunill, Julio. Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nd/4.0/deed.ca","","fotografies","ELEMENTS URBANS. EMBORNALS I POUS DE REGISTRE. ARTIGUES, Jaume. BARJUAN, Josep","Reixa Ciutat Vella 70 Barcelona 3","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Casp, Carrer (Barcelona)","","1993-05-04","2002-01-01","Pericas, Enric. Pla general del carrer Casp, on es mostra   part de la via i la vorera. Hi destaca una   plaforma d'accés d'autobús. Aquesta és   de formigó comprimit.  Davant l'element   urbà, hi ha un autobús aturat. De la porta   posterior del vehicle s'articula","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","1505. NEUPIL666_1",48.0,"http://hdl.handle.net/11703/74885","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","PILONES I ELEMENTS DE PROTECCIÓ. Pericas, Enric","Plataforma accés autobús","image",""
"Servei d'Elements Urbans","","","1996-03-01","2002-01-01","Data aproximada. Primer pla de dos contenidors d'escombreries  orgànic, de color verd.  Estan fabricats per injecció en polietilè   d'alta densitat, Solapa de cautxú i llantes  de plàstic o acer galvanitzat amb gir de 360 graus.","","","image/jpeg","1 diapositiva","Diapositiva. DIAPOSITIVES 24x36. Color","121. DEUCON1_2",4.0,"http://hdl.handle.net/11703/73509","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","CONTENIDORS. ELEMENTS URBANS","Contenidor d'escombreries (orgànic)","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Rosselló, Carrer (Barcelona)","","1995-04-05","2002-01-01","Periel, Montse. Pla general d'un tram del carrer Rosselló   amb Balmes. Es presenta una barana   model INOX 50, tubular d'acer inoxidable.  A un costat, sobre la vorera, transeünts  caminant, a l'altre, cotxes circul·lant.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","539. NEUBAR1277_31",17.0,"http://hdl.handle.net/11703/73926","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","BARANES. ELEMENTS URBANS. Periel Piquer, Montserrat","Barana INOX 50","image",""
