"dccontributorauthor","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatevalidfinal","dcdatevalidinici","dcdescription","dcdescriptionLegislationChangedBy","dcdescriptionLegislationChanges","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreplacedby","dcrelationisrequiredby","dcrelationreplaces","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 43"
"Districte 2. Eixample","Barcelona. Districte 2. Eixample | Sagrada Família (Barcelona : Barri) | Mallorca, Carrer (Barcelona) | Gaudí, Avinguda (Barcelona) | Marina, Carrer (Barcelona) | Provença, Carrer (Barcelona) | Sardenya, Carrer (Barcelona) | València, Carrer (Barcelona) | Barcelona. District 2. Eixample | Sagrada Família (Barcelona : Neighborhood) | Mallorca, Street (Barcelona) | Gaudí, Avenue (Barcelona) | Marina, Street (Barcelona) | Provença, Street (Barcelona) | Sardenya, Street (Barcelona) | València, Street (Barcelona) | Barcelona. Distrito 2. Eixample | Sagrada Família (Barcelona : Barrio) | Mallorca, Calle (Barcelona) | Gaudí, Avenida (Barcelona) | Marina, Calle (Barcelona) | Provença, Calle (Barcelona) | Sardenya, Calle (Barcelona) | València, Calle (Barcelona)","","Si","2017-04-06","2017-04-27","","2017-04-28","Aprovada per la Comissió de Govern de 06-04-2017","","Deroga el Pla regulador de les autoritzacions de terrasses, vetlladors i mobiliari auxiliar al Districte de l'Eixample, en  tot allò que contradigui la present ordenació [http://hdl.handle.net/11703/85856] | Modifica l'Annex II de l'Ordenança de terrasses [2013] [http://hdl.handle.net/11703/86856]","","","application/pdf","","application/pdf","","","Butlletí Oficial de la Província de Barcelona (27-04-2017) | Correcció d'errades: Butlletí Oficial de la Província de Barcelona (22-05-2017)","districtes","","http://hdl.handle.net/11703/101962","cat","","","","","","","http://hdl.handle.net/11703/86856","http://hdl.handle.net/11703/85856","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Espais públics | Bars | Restaurants | Terrasses (Hoteleria) | Hoteleria | Establiments de concurrència pública | Public spaces | Bars (Drinking establishments) | Restaurants | Bar terraces | Hospitality industry | Public areas | Espacios públicos | Bares | Restaurantes | Terrazas (Hostelería) | Hostelería | Establecimientos de concurrencia pública","Comerç","bases ús públic","Ordenació singular de terrasses dels entorns del Temple de la  Sagrada Família [2017]","Ordenança de terrasses [2013] : modificació [2017-04-06]","text","info:eu-repo/semantics/other",""
"Districte 1. Ciutat Vella","Barcelona. Districte 1. Ciutat Vella | Gòtic (Barcelona : Barri) | Portal de l'Àngel, Avinguda (Barcelona) | Barcelona. District 1. Ciutat Vella | Gòtic (Barcelona : Neighborhood) | Portal de l'Àngel, Avenue (Barcelona) | Barcelona. Distrito 1. Ciutat Vella | Gòtic (Barcelona : Barrio) | Portal de l'Àngel, Avenida (Barcelona)","2019","No","2018-08-02","2018-08-10","2019-12-31","2019-01-01","Aprovació definitiva per la Gerent del Districte de Ciutat  Vella el 02-08-2018","","Substitueix l'Adjudicació de les parades de la Fira d'Artesania de l'Avinguda Portal de l'Àngel [2016-2017] [http://hdl.handle.net/11703/106249]","","","application/pdf","20 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona  (10-08-2018)","districtes","","http://hdl.handle.net/11703/110903","cat","Districte de Ciutat Vella","","","","","","","http://hdl.handle.net/11703/106249","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.es","Espais públics | Llicències comercials | Fires | Venda ambulant | Public spaces | Trade licenses | Fairs | Peddling | Espacios públicos | Licencias comerciales | Ferias | Comercio ambulante","Comerç","bases ús públic","Adjudicació de les parades de la Fira d'Artesania de l'Avinguda del Portal de l'Àngel [2019]","","text","info:eu-repo/semantics/other",""
"Districte 1. Ciutat Vella","Barcelona. Districte 1. Ciutat Vella | Gòtic (Barcelona : Barri) | Sant Miquel, Plaça (Barcelona) | Barcelona. District 1. Ciutat Vella | Gòtic (Barcelona : Neighborhood) | Sant Miquel, Square (Barcelona) | Barcelona. Distrito 1. Ciutat Vella | Gòtic (Barcelona : Barrio) | Sant Miquel, Plaza (Barcelona)","","Si","2016-06-26","2016-06-28","","2016-06-29","Aprovat per la Comissió de Govern de 26-05-2016 | Basat en l'article 80 de l'Ordenança de terrasses [2013] [http://hdl.handle.net/11703/86856]","","","","","application/pdf","9 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (28-06-2016)","districtes","","http://hdl.handle.net/11703/97552","cat","","","http://hdl.handle.net/11703/86856","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Espais públics | Bars | Restaurants | Terrasses (Hoteleria) | Hoteleria | Establiments de concurrència pública | Public spaces | Bars (Drinking establishments) | Restaurants | Bar terraces | Hospitality industry | Public areas | Espacios públicos | Bares | Restaurantes | Terrazas (Hostelería) | Hostelería | Establecimientos de concurrencia pública","Comerç","bases ús públic","Distribució prèvia de terrasses de la plaça Sant Miquel, al districte de Ciutat Vella de Barcelona [2016]","","text","info:eu-repo/semantics/other",""
"Districte 1. Ciutat Vella","Sant Pere Més Alt, Carrer (Barcelona) | Barcelona. Districte 1. Ciutat Vella | Sant Pere, Santa Caterina i la Ribera (Barcelona : Barri) | Sant Pere, Plaça (Barcelona) | Lluís el Piadós, Carrer (Barcelona) | Hort dels Velluters, Passatge (Barcelona) | Méndez Núñez, Carrer (Barcelona) | Sant Pere Més Alt, Street (Barcelona) | Barcelona. District 1. Ciutat Vella | Sant Pere, Santa Caterina i la Ribera (Barcelona : Neighborhood) | Sant Pere, Square (Barcelona) | Lluís el Piadós, Street (Barcelona) | Hort dels Velluters, Passatge (Barcelona) | Méndez Núñez, Street (Barcelona) | Sant Pere Més Alt, Calle (Barcelona) | Barcelona. Distrito 1. Ciutat Vella | Sant Pere, Santa Caterina i la Ribera (Barcelona : Barrio) | Sant Pere, Plaza (Barcelona) | Lluís el Piadós, Calle (Barcelona) | Hort dels Velluters, Passatge (Barcelona) | Méndez Núñez, Calle (Barcelona)","","Si","2017-09-28","2017-12-01","","2017-12-02","Aprovada per la Comissió de Govern de 28-09-2017 | Basat en l'article 79 de l'Ordenança de terrasses [2013] [http://hdl.handle.net/11703/86856]","","","","","application/pdf","11 p.","application/pdf","","OS 03040","Butlletí Oficial de la Província de Barcelona (01-12-2017)","districtes","","http://hdl.handle.net/11703/106488","cat","","","http://hdl.handle.net/11703/86856","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Espais públics | Terrasses (Hoteleria) | Hoteleria | Bars | Restaurants | Establiments de concurrència pública | Public spaces | Bar terraces | Hospitality industry | Bars (Drinking establishments) | Restaurants | Public areas | Espacios públicos | Terrazas (Hostelería) | Hostelería | Bares | Restaurantes | Establecimientos de concurrencia pública","Comerç","bases ús públic","Ordenació singular de la Plaça de Sant Pere [2017]","Ordenació singular de terrasses de la Plaça de Sant Pere [2017]","text","info:eu-repo/semantics/other",""
"Districte 1. Ciutat Vella","Barcelona. Districte 1. Ciutat Vella | Raval (Barcelona : Barri) | Aureli Capmany, Placeta d' (Barcelona) | Barcelona. District 1. Ciutat Vella | Raval (Barcelona : Neighborhood) | Aureli Capmany, Placeta d' (Barcelona) | Barcelona. Distrito 1. Ciutat Vella | Raval (Barcelona : Barrio) | Aureli Capmany, Placeta d' (Barcelona)","","Si","2016-05-26","2016-06-28","","2016-06-29","Aprovat per la Comissió de Govern de 26-05-2016 | Basat en l'article 80 de l'Ordenança de terrasses [2013] [http://hdl.handle.net/11703/86856]","","","","","application/pdf","9 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (28-06-2016)","districtes","","http://hdl.handle.net/11703/97521","cat","","","http://hdl.handle.net/11703/86856","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Espais públics | Bars | Restaurants | Terrasses (Hoteleria) | Hoteleria | Establiments de concurrència pública | Public spaces | Bars (Drinking establishments) | Restaurants | Bar terraces | Hospitality industry | Public areas | Espacios públicos | Bares | Restaurantes | Terrazas (Hostelería) | Hostelería | Establecimientos de concurrencia pública","Comerç","bases ús públic","Distribució prèvia de terrasses de la placeta Aureli Capmany, al districte de Ciutat Vella [2016]","","text","info:eu-repo/semantics/other",""
"Districte 2. Eixample","Barcelona. Districte 2. Eixample | Sant Joan, Passeig (Barcelona) | Barcelona. District 2. Eixample | Sant Joan, Boulevard (Barcelona) | Barcelona. Distrito 2. Eixample | Sant Joan, Paseo (Barcelona)","","Si","2011-01-20","2011-04-04","","2011-04-05","Aprovada per Comissió de Govern del Districte de l'Eixample de 28-02-2011","Derogat parcialment per l'Ordenança de terrasses [2013] [http://hdl.handle.net/11703/86856]","","","","application/pdf","4 p.","application/pdf","15633","","Butlletí Oficial de la Província de Barcelona (04-04-2011)","districtes","","http://hdl.handle.net/11703/85863","cat","","","","","","","","","http://hdl.handle.net/11703/86856","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Espais públics | Bars | Restaurants | Terrasses (Hoteleria) | Hoteleria | Establiments de concurrència pública | Public spaces | Bars (Drinking establishments) | Restaurants | Bar terraces | Hospitality industry | Public areas | Espacios públicos | Bares | Restaurantes | Terrazas (Hostelería) | Hostelería | Establecimientos de concurrencia pública","Comerç","bases ús públic","Criteris especials per a les llicències de terrasses, vetlladors i mobiliari auxiliar al Passeig de Sant Joan entre l'Arc de Triomf i l'Av. Diagonal [2011]","","text","info:eu-repo/semantics/other",""
"Districte 6. Gràcia","Hort Urbà de l'Avi (Barcelona) | Hort Urbà de Turull (Barcelona) | Vallcarca i els Penitents (Barcelona : Barri) | Torrent del Remei, Carrer (Barcelona) | Turull, Passeig (Barcelona) | Barcelona. Districte 6. Gràcia | Hort Urbà de l'Avi (Barcelona) | Hort Urbà de Turull (Barcelona) | Vallcarca i els Penitents (Barcelona : Neighborhood) | Torrent del Remei, Street (Barcelona) | Turull, Boulevard (Barcelona) | Barcelona. District 6. Gràcia | Hort Urbà de l'Avi (Barcelona) | Hort Urbà de Turull (Barcelona) | Vallcarca i els Penitents (Barcelona : Barrio) | Torrent del Remei, Calle (Barcelona) | Turull, Paseo (Barcelona) | Barcelona. Distrito 6. Gràcia","2017","Si","2017-05-26","2017-06-02","","2017-06-03","","","","","","application/pdf","2 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (02-06-2017)","districtes","","http://hdl.handle.net/11703/102452","cat","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Horts | Agricultura urbana | Vegetable gardening | Urban agriculture | Huertos | Agricultura urbana","Medi rural i pesca","bases ús públic","Cessió d'ús de 1 parcel·la de l'Hort de l'Avi i de 10 parcel·les de l'Hort de Turull [2017] : convocatòria","Convocatòria del concurs per l'adjudicació de horts urbans del Districte de Gràcia","text","info:eu-repo/semantics/other",""
"Districte 10. Sant Martí","Barcelona. Districte 10. Sant Martí | Barcelona. Distrito 10. Sant Martí | Barcelona. District 10. Sant Martí | Verneda i la Pau (Barcelona : Barri) | Verneda i la Pau (Barcelona : Barrio) | Verneda i la Pau (Barcelona : Neighborhood)","2020 | 2021","Si","2019-10-24","2019-10-31","","2019-11-01","Aprovada per la Comissió de Govern de 24-10-2019 | Es basa en Model de bases de la gestió cívica d'equipaments, per activitats i serveis municipals [2015] [http://hdl.handle.net/11703/86594]","","","","Annex 1. Document de contextualització de la gestió cívica ; Annex 2. Característiques comunes essencials del projecte de l'equipament a gestionar ; Annex 3. Documentació específica del Casal de Barri La Pau ; Annex 4. Declaració responsable","application/pdf","63 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (31-10-2019)","","","http://hdl.handle.net/11703/115888","cat","","","http://hdl.handle.net/11703/86594","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Equipaments col·lectius | Equipamientos colectivos | Infrastructure (Economics) | Entitats sense ànim de lucre | Organizaciones no lucrativas | Nonprofit organizations | Casals de barri | Centros de barrio | Social settlements | Casal de Barri La Pau (Barcelona) | Casal de Barri La Pau (Barcelona) | Casal de Barri La Pau (Barcelona)","Societat i benestar","bases ús públic","Adjudicació de la gestió cívica del Casal de Barri La Pau [2019]","","text","info:eu-repo/semantics/other",""
"Districte 10. Sant Martí","Barcelona. Districte 10. Sant Martí | Poblenou (Barcelona : Barri) | Poblenou, Rambla (Barcelona) | Barcelona. District 10. Sant Martí | Poblenou (Barcelona : Neighborhood) | Poblenou, Rambla (Barcelona) | Barcelona. Distrito 10. Sant Martí | Poblenou (Barcelona : Barrio) | Poblenou, Rambla (Barcelona)","","Si","2017-10-19","2017-10-30","","2017-10-31","Aprovada per la Comissió de Govern de 19-10-2017 | Basat en l'Informe Ordenació singular terrasses del Poblenou [http://hdl.handle.net/11703/100858]","Deroga parcialment la normativa del Pla de vetlladors de l'eix de vianants dels carrers de Rogent i Sèquia Comtal, plaça de Font i Sagué, Rambla del Poblenou i zones del Districte d'anàlogues característiques [2001] [http://hdl.handle.net/11703/86393]","","","","application/pdf","2 documents","application/pdf","","","Gaseta Municipal de Barcelona (27-11-2017) | Butlletí Oficial de la Província de Barcelona (30-10-2017)","districtes","","http://hdl.handle.net/11703/106139","cat","","","http://hdl.handle.net/11703/100858","","","","http://hdl.handle.net/11703/86393","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Espais públics | Bars | Restaurants | Terrasses (Hoteleria) | Hoteleria | Establiments de concurrència pública | Public spaces | Bars (Drinking establishments) | Restaurants | Bar terraces | Hospitality industry | Public areas | Espacios públicos | Bares | Restaurantes | Terrazas (Hostelería) | Hostelería | Establecimientos de concurrencia pública","Comerç","bases ús públic","Ordenació singular de terrasses de la Rambla del Poble Nou [2017]","","text","info:eu-repo/semantics/other",""
"Districte 9. Sant Andreu","Barcelona. Districte 9. Sant Andreu | Sagrera (Barcelona : Barri) | Masadas, Plaça (Barcelona) | Barcelona. District 9. Sant Andreu | Sagrera (Barcelona : Neighborhood) | Masadas, Square (Barcelona) | Barcelona. Distrito 9. Sant Andreu | Sagrera (Barcelona : Barrio) | Masadas, Plaza (Barcelona)","2017","Si","2016-12-15","2017-01-27","","2017-01-28","Aprovada per la Comissió de Govern de 15-12-2016 | Basat en l'article 79 de l'Ordenança de terrasses [2013] [http://hdl.handle.net/11703/86856]","","","","","application/pdf","12 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (27-01-2017)","districtes","","http://hdl.handle.net/11703/99570","cat","","","http://hdl.handle.net/11703/86856","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Espais públics | Bars | Restaurants | Terrasses (Hoteleria) | Hoteleria | Establiments de concurrència pública | Public spaces | Bars (Drinking establishments) | Restaurants | Bar terraces | Hospitality industry | Public areas | Espacios públicos | Bares | Restaurantes | Terrazas (Hostelería) | Hostelería | Establecimientos de concurrencia pública","Comerç","bases ús públic","Distribució prèvia de terrasses de la Plaça Masadas [2016]","","text","info:eu-repo/semantics/other",""
"Alcaldia | Districte 10. Sant Martí","Barcelona. Districte 10. Sant Martí | Poblenou (Barcelona : Barri) | Barcelona. Distrito 10. Sant Martí | Poblenou (Barcelona : Barrio) | Barcelona. District 10. Sant Martí | Poblenou (Barcelona : Neighborhood)","2018","Si","2018-07-20","2018-08-01","2018-09-16","2018-09-07","Aprovat per Decret de l'Alcaldia de 20-07-2018 | Basat en l'article 30.2 de l'Ordenança de terrasses [2013] [http://hdl.handle.net/11703/86856]","","","","","application/pdf","1 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (01-08-2018)","districtes","Mandat 2015-2019","http://hdl.handle.net/11703/110825","cat","","","http://hdl.handle.net/11703/86856","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Espais públics | Hoteleria | Establiments de concurrència pública | Festes majors | Restaurants | Terrasses (Hoteleria) | Public spaces | Hospitality industry | Public spaces | Festivals | Restaurants | Bar terraces | Espacios públicos | Hostelería | Establecimientos de concurrencia pública | Fiestas | Restaurantes | Terrazas (Hostelería)","Comerç | Sector públic","bases ús públic | decrets","Horari de les terrasses : barri de Poblenou : modificació temporal amb motiu de la celebració de la Festa Major [2018]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Districte 1. Ciutat Vella","Barcelona. Districte 1. Ciutat Vella | Gòtic (Barcelona : Barri) | Raval (Barcelona : Barri) | Rambla, La (Barcelona) | Barcelona. District 1. Ciutat Vella | Gòtic (Barcelona : Neighborhood) | Raval (Barcelona : Neighborhood) | Rambla, La (Barcelona) | Barcelona. Distrito 1. Ciutat Vella | Gòtic (Barcelona : Barrio) | Raval (Barcelona : Barrio) | Rambla, La (Barcelona)","2013","Si","2012-03-27","2012-03-30","","2012-03-30","","Modificats per Resolució de l'Alcalde de 09-05-2012 [http://hdl.handle.net/11703/85859] | Substituïda Regulació de l'activitat d'estàtua humana, o vivent, a la Rambla de Santa Mònica a Ciutat Vella [2019] {http://hdl.handle.net/11703/112540]","Substitueix la Normativa de regulació específica per a l'activitat d'estàtua humana a la Rambla de Barcelona  [2010] [http://hdl.handle.net/11703/84391","","","application/pdf","8 p.","application/pdf","9918","","Butlletí Oficial de la Província de Barcelona (30-03-2012)","districtes","","http://hdl.handle.net/11703/84392","cat","","","","","","http://hdl.handle.net/11703/112540","","http://hdl.handle.net/11703/84391","http://hdl.handle.net/11703/85859","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Espais públics | Estàtues | Performance (Art) | Quadres vius | Public spaces | Statues | Performance art | Tableaux | Espacios públicos | Estatuas | Performance (Arte) | Tableau vivant","Cultura i oci","bases ús públic","Criteris d'ordenació i ocupació per a l'activitat d'estàtua humana a la Rambla de Barcelona  [2012]","","text","info:eu-repo/semantics/other",""
"Districte 3. Sants-Montjuïc","Barcelona. Districte 3. Sants-Montjuïc | Poble Sec (Barcelona : Barri) | Blai, Carrer (Barcelona) | Blesa, Carrer (Barcelona) | Barcelona. District 3. Sants-Montjuïc | Poble Sec (Barcelona : Neighborhood) | Blai, Street (Barcelona) | Blesa, Street (Barcelona) | Barcelona. Distrito 3. Sants-Montjuïc | Poble Sec (Barcelona : Barrio) | Blai, Calle (Barcelona) | Blesa, Calle (Barcelona)","","Si","2016-01-28","2016-02-18","","2016-02-19","Aprovat per la Comissió de Govern de 28-01-2016","","","","","application/pdf","22 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (18-02-2016)","districtes","","http://hdl.handle.net/11703/88310","cat","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Espais públics | Bars | Restaurants | Terrasses (Hoteleria) | Establiments de concurrència pública | Public spaces | Bars (Drinking establishments) | Restaurants | Bar terraces | Public areas | Espacios públicos | Bares | Restaurantes | Terrazas (Hostelería) | Establecimientos de concurrencia pública","Comerç","bases ús públic","Ordenació singular de terrasses del carrer Blai i carrer Blesa [2016]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","Si","2014-10-17","2014-12-30","","2015-01-01","Aprovat per Decret de l'Alcaldia de 17-10-2014","","","","","application/pdf","6 p.","application/pdf","17470","","Butlletí oficial de la província de Barcelona (30-12-2014) | Publicat també a la: Gaseta Municipal de Barcelona, núm. 1 (10-01-2015), p. 407-412","","","http://hdl.handle.net/11703/84394","cat","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Espais públics | Publicitat exterior | Public spaces | Advertising, Outdoor | Espacios públicos | Publicidad exterior","Urbanisme i infraestructures","bases ús públic","Criteris per a la col·locació de banderoles a la via publica i regulació del procediment per a la seva autorització [2014]","","text","info:eu-repo/semantics/other",""
"Districte 4. Les Corts","Barcelona. Districte 4. Les Corts | Barcelona. District 4. Les Corts | Barcelona. Distrito 4. Les Corts","","Si","2010-09-23","2010-11-11","","2010-11-12","Aprovat per Decret de l'Alcaldia de 23-09-2010","Derogat parcialment per l'Ordenança de terrasses [2013] [http://hdl.handle.net/11703/86856]","","","","application/pdf","17 p.","application/pdf","9574","","Butlletí Oficial de la Província de Barcelona (11-11-2010)","districtes","","http://hdl.handle.net/11703/85858","cat","","","","","","","","","http://hdl.handle.net/11703/86856","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Espais públics | Bars | Restaurants | Terrasses (Hoteleria) | Hoteleria | Establiments de concurrència pública | Public spaces | Bars (Drinking establishments) | Restaurants | Bar terraces | Hospitality industry | Public areas | Espacios públicos | Bares | Restaurantes | Terrazas (Hostelería) | Hostelería | Establecimientos de concurrencia pública","Comerç","bases ús públic","Pla regulador de terrasses del Districte de les Corts [2010]","","text","info:eu-repo/semantics/other",""
"Districte 6. Gràcia","Barcelona. Districte 6. Gràcia | Vila de Gràcia (Barcelona : Barri) | Rovira i Trias, Plaça (Barcelona) | Rabassa, Carrer (Barcelona) | Torrent de les Flors, Carrer (Barcelona) | Providència, Carrer (Barcelona) | Barcelona. District 6. Gràcia | Vila de Gràcia (Barcelona : Neighborhood) | Rovira i Trias, Square (Barcelona) | Rabassa, Street (Barcelona) | Torrent de les Flors, Street (Barcelona) | Providència, Street (Barcelona) | Barcelona. Distrito 6. Gràcia | Vila de Gràcia (Barcelona : Barrio) | Rovira i Trias, Plaza (Barcelona) | Rabassa, Calle (Barcelona) | Torrent de les Flors, Calle (Barcelona) | Providència, Calle (Barcelona)","","Si","2017-10-26","2017-12-14","","2017-12-15","Aprovada per la Comissió de Govern de 26-10-2017 | Basat en l'article 79 de l'Ordenança de terrasses [2013] [http://hdl.handle.net/11703/86856]","","","","","application/pdf","16 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (14-12-2017)","districtes","","http://hdl.handle.net/11703/106676","cat","","","http://hdl.handle.net/11703/86856","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Espais públics | Terrasses (Hoteleria) | Hoteleria | Bars | Restaurants | Establiments de concurrència pública | Public spaces | Bar terraces | Hospitality industry | Bars (Drinking establishments) | Restaurants | Public areas | Espacios públicos | Terrazas (Hostelería) | Hostelería | Bares | Restaurantes | Establecimientos de concurrencia pública","Comerç","bases ús públic","Ordenació singular de la Plaça Rovira i Trias [2017]","Ordenació singular de terrasses de la Plaça Rovira i Trias [2017]","text","info:eu-repo/semantics/other",""
"Districte 2. Eixample","Diagonal, Avinguda (Barcelona) | Meridiana, Avinguda (Barcelona) | Barcelona. Districte 2. Eixample | Marina, Carrer (Barcelona) | Diagonal, Boulevard (Barcelona) | Meridiana, Avenue (Barcelona) | Barcelona. District 2. Eixample | Marina, Street (Barcelona) | Diagonal, Avenida (Barcelona) | Meridiana, Avenida (Barcelona) | Barcelona. Distrito 2. Eixample | Marina, Calle (Barcelona)","","Si","2016-10-20","2016-12-13","","2016-12-14","Aprovada per la Comissió de Govern de 20-10-2016 | Basat en l'article 80 de l'Ordenança de terrasses [2013] [http://hdl.handle.net/11703/86856]","","","","","application/pdf","24 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (13-12-2016)","districtes","","http://hdl.handle.net/11703/99317","cat","","","http://hdl.handle.net/11703/86856","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Espais públics | Bars | Restaurants | Terrasses (Hoteleria) | Hoteleria | Establiments de concurrència pública | Public spaces | Bars (Drinking establishments) | Restaurants | Bar terraces | Hospitality industry | Public areas | Espacios públicos | Bares | Restaurantes | Terrazas (Hostelería) | Hostelería | Establecimientos de concurrencia pública","Comerç","bases ús públic","Distribució prèvia de terrasses del carrer Marina, en el tram comprès entre avinguda Diagonal i avinguda Meridiana, al Districte de l'Eixample [2016]","","text","info:eu-repo/semantics/other",""
"Districte 1. Ciutat Vella","Barcelona. Districte 1. Ciutat Vella | Gòtic (Barcelona : Barri) | Portal de l'Àngel, Avinguda (Barcelona) | Barcelona. District 1. Ciutat Vella | Gòtic (Barcelona : Neighborhood) | Portal de l'Àngel, Avenue (Barcelona) | Barcelona. Distrito 1. Ciutat Vella | Gòtic (Barcelona : Barrio) | Portal de l'Àngel, Avenida (Barcelona)","2018","Si","2017-11-07","2017-11-14","","","Aprovació definitiva per la Gerent del Districte de Ciutat  Vella el 07-11-2017 | Correcció d'errades aprovada per la Gerent del Districte de Ciutat Vella el 15-11-2017","","Substitueix l'Adjudicació de les parades de la Fira d'Artesania de l'Avinguda Portal de l'Àngel [2016-2017] [http://hdl.handle.net/11703/98362]","","","application/pdf","2 documents","application/pdf","","","Butlletí Oficial de la Província de Barcelona (14-11-2017) | Correcció de dades i text refós: Butlletí Oficial de la Província de Barcelona (22-11-2017)","districtes","","http://hdl.handle.net/11703/106249","cat","Districte de Ciutat Vella","","","","","","","http://hdl.handle.net/11703/98362","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Espais públics | Llicències comercials | Venda ambulant | Fires | Public spaces | Trade licenses | Peddling | Fairs | Espacios públicos | Licencias comerciales | Comercio ambulante | Ferias","Comerç","bases ús públic","Adjudicació de les parades de la Fira d'Artesania de l'Avinguda del Portal de l'Àngel [2018]","","text","info:eu-repo/semantics/other",""
"Districte 7. Horta-Guinardó","Barcelona. Districte 7. Horta-Guinardó | Vall d'Hebron (Barcelona : Barri) | Joan Cornudella, Plaça (Barcelona) | Barcelona. District 7. Horta-Guinardó | Vall d'Hebron (Barcelona : Neighborhood) | Joan Cornudella, Square (Barcelona) | Barcelona. Distrito 7. Horta-Guinardó | Vall d'Hebron (Barcelona : Barrio) | Joan Cornudella, Plaza (Barcelona)","","Si","2016-09-15","2016-10-10","","2016-10-11","Aprovat per la Comissió de Govern de 15-09-2016 | Basat en l'article 80 de l'Ordenança de terrasses [2013] [http://hdl.handle.net/11703/86856]","","","","","application/pdf","10 p.","application/pdf","","Núm. Exp. 07-DP4101","Butlletí Oficial de la Província de Barcelona (10-10-2016)","districtes","","http://hdl.handle.net/11703/98459","cat","","","http://hdl.handle.net/11703/86856","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Espais públics | Bars | Restaurants | Terrasses (Hoteleria) | Hoteleria | Establiments de concurrència pública | Public spaces | Bars (Drinking establishments) | Restaurants | Bar terraces | Hospitality industry | Public areas | Espacios públicos | Bares | Restaurantes | Terrazas (Hostelería) | Hostelería | Establecimientos de concurrencia pública","Comerç","bases ús públic","Distribució prèvia de terrasses de la plaça Joan Cornudella, al districte d'Horta-Guinardó [2016]","","text","info:eu-repo/semantics/other",""
